Channel 1!!!_x,Channel 1!!!_y
0.,5063.
1.,5032.
2.,4969.
3.,4969.
4.,5016.
5.,5073.
6.,5031.
7.,5176.
8.,5024.
9.,5010.
10.,5017.
11.,5036.
12.,5058.
13.,5066.
14.,5204.
15.,5038.
16.,5099.
17.,5048.
18.,5143.
19.,5038.
20.,4892.
21.,4968.
22.,5056.
23.,5084.
24.,5133.
25.,5160.
26.,5107.
27.,5075.
28.,5036.
29.,5186.
30.,5092.
31.,5058.
32.,5065.
33.,4981.
34.,5160.
35.,5103.
36.,5211.
37.,5096.
38.,5034.
39.,5166.
40.,5107.
41.,5092.
42.,5041.
43.,5158.
44.,5023.
45.,5036.
46.,5013.
47.,5031.
48.,5121.
49.,5006.
50.,5035.
51.,5166.
52.,5154.
53.,5030.
54.,5047.
55.,5057.
56.,5068.
57.,4942.
58.,4983.
59.,5157.
60.,5168.
61.,5165.
62.,4892.
63.,5082.
64.,4957.
65.,4967.
66.,5154.
67.,5086.
68.,5166.
69.,5147.
70.,5066.
71.,5209.
72.,5021.
73.,5149.
74.,5179.
75.,5104.
76.,5135.
77.,5131.
78.,5056.
79.,5055.
80.,5083.
81.,5192.
82.,5053.
83.,5077.
84.,5089.
85.,5102.
86.,4998.
87.,5110.
88.,5050.
89.,5115.
90.,5104.
91.,4932.
92.,5112.
93.,5033.
94.,4941.
95.,5126.
96.,5049.
97.,5041.
98.,5103.
99.,5114.
100.,5002.
101.,5139.
102.,5135.
103.,5159.
104.,5115.
105.,5026.
106.,5002.
107.,5059.
108.,4943.
109.,5055.
110.,5153.
111.,5062.
112.,5032.
113.,5028.
114.,5095.
115.,4962.
116.,4963.
117.,5190.
118.,5008.
119.,4973.
120.,5098.
121.,5058.
122.,5007.
123.,5062.
124.,5119.
125.,5087.
126.,5199.
127.,4974.
128.,4962.
129.,5120.
130.,5158.
131.,5046.
132.,5127.
133.,5144.
134.,4960.
135.,4995.
136.,5181.
137.,4965.
138.,5036.
139.,5040.
140.,5053.
141.,5031.
142.,5280.
143.,5118.
144.,5035.
145.,5127.
146.,4985.
147.,5004.
148.,4921.
149.,5046.
150.,5072.
151.,5195.
152.,4980.
153.,5033.
154.,5116.
155.,5290.
156.,5052.
157.,5184.
158.,5030.
159.,5009.
160.,5085.
161.,5111.
162.,5076.
163.,5092.
164.,5002.
165.,5034.
166.,5106.
167.,5043.
168.,5132.
169.,5131.
170.,5017.
171.,4994.
172.,4981.
173.,5159.
174.,5061.
175.,5010.
176.,5039.
177.,5020.
178.,4989.
179.,5137.
180.,5089.
181.,5103.
182.,5125.
183.,5022.
184.,4942.
185.,5125.
186.,5014.
187.,5015.
188.,5203.
189.,5085.
190.,5103.
191.,5087.
192.,5036.
193.,5107.
194.,5057.
195.,5110.
196.,5008.
197.,5033.
198.,5026.
199.,4957.
200.,5102.
201.,5107.
202.,5009.
203.,5127.
204.,5014.
205.,4936.
206.,4976.
207.,5133.
208.,5002.
209.,5221.
210.,4982.
211.,5121.
212.,5083.
213.,5207.
214.,5138.
215.,5150.
216.,5072.
217.,5057.
218.,5117.
219.,5073.
220.,5098.
221.,5166.
222.,5065.
223.,4968.
224.,5060.
225.,5105.
226.,5099.
227.,5104.
228.,5001.
229.,5213.
230.,5056.
231.,5067.
232.,5018.
233.,5107.
234.,4966.
235.,5056.
236.,5191.
237.,5055.
238.,5023.
239.,5062.
240.,5099.
241.,5059.
242.,5107.
243.,5119.
244.,5150.
245.,4889.
246.,5061.
247.,5084.
248.,5056.
249.,5201.
250.,5123.
251.,5134.
252.,5152.
253.,4993.
254.,5041.
255.,4971.
256.,5073.
257.,5024.
258.,5123.
259.,5092.
260.,5118.
261.,4952.
262.,4989.
263.,4990.
264.,5231.
265.,5099.
266.,5172.
267.,4922.
268.,4842.
269.,5055.
270.,5073.
271.,5030.
272.,5016.
273.,5070.
274.,5011.
275.,5147.
276.,5143.
277.,5130.
278.,5044.
279.,5172.
280.,5044.
281.,5151.
282.,5058.
283.,4979.
284.,5069.
285.,5052.
286.,5021.
287.,5138.
288.,5207.
289.,5120.
290.,5044.
291.,5057.
292.,5086.
293.,5248.
294.,5094.
295.,5183.
296.,5030.
297.,5010.
298.,5131.
299.,5037.
300.,5164.
301.,4945.
302.,5152.
303.,5035.
304.,5257.
305.,4970.
306.,5132.
307.,5057.
308.,5115.
309.,5160.
310.,5095.
311.,5037.
312.,5163.
313.,5122.
314.,5085.
315.,5113.
316.,5070.
317.,5127.
318.,4980.
319.,5138.
320.,5165.
321.,4955.
322.,5176.
323.,5236.
324.,5052.
325.,5108.
326.,4966.
327.,5138.
328.,4900.
329.,4992.
330.,5081.
331.,5044.
332.,5122.
333.,5116.
334.,5041.
335.,5082.
336.,5134.
337.,5082.
338.,5107.
339.,5084.
340.,5117.
341.,5082.
342.,4965.
343.,5059.
344.,5168.
345.,5105.
346.,5052.
347.,5151.
348.,4986.
349.,5041.
350.,5101.
351.,5005.
352.,4983.
353.,5048.
354.,5012.
355.,5062.
356.,4988.
357.,5042.
358.,5028.
359.,5183.
360.,5119.
361.,5078.
362.,4992.
363.,5100.
364.,5066.
365.,5141.
366.,5093.
367.,5066.
368.,5185.
369.,5033.
370.,4952.
371.,5054.
372.,4993.
373.,5183.
374.,4980.
375.,5120.
376.,5038.
377.,5131.
378.,5130.
379.,5074.
380.,5169.
381.,5024.
382.,4944.
383.,5081.
384.,5057.
385.,4991.
386.,5076.
387.,5053.
388.,5013.
389.,5176.
390.,5135.
391.,5068.
392.,5126.
393.,5025.
394.,5126.
395.,5096.
396.,5036.
397.,5094.
398.,5239.
399.,5139.
400.,5115.
401.,5016.
402.,5085.
403.,5161.
404.,4961.
405.,5144.
406.,5170.
407.,4965.
408.,5121.
409.,5155.
410.,4889.
411.,5074.
412.,5066.
413.,5197.
414.,5090.
415.,4985.
416.,5052.
417.,5096.
418.,5119.
419.,5195.
420.,5061.
421.,5125.
422.,5138.
423.,5237.
424.,5226.
425.,5170.
426.,5013.
427.,5172.
428.,5078.
429.,5025.
430.,5116.
431.,5093.
432.,5083.
433.,5024.
434.,5147.
435.,5155.
436.,5053.
437.,4912.
438.,5153.
439.,5165.
440.,5229.
441.,5040.
442.,5072.
443.,5099.
444.,4977.
445.,5104.
446.,5165.
447.,5117.
448.,5162.
449.,5061.
450.,5194.
451.,4998.
452.,5084.
453.,5137.
454.,4974.
455.,5108.
456.,4954.
457.,5065.
458.,5082.
459.,5196.
460.,5135.
461.,5077.
462.,5191.
463.,5147.
464.,5031.
