Channel 1!!!_x,Channel 1!!!_y
0.,49976.
1.,49882.
2.,50210.
3.,49708.
4.,49627.
5.,49861.
6.,49746.
7.,49870.
8.,49610.
9.,49783.
10.,49845.
11.,49717.
12.,49122.
13.,50026.
14.,49923.
15.,49852.
16.,50194.
17.,49465.
18.,49727.
19.,50005.
20.,49848.
21.,49953.
22.,49886.
23.,49816.
24.,49900.
25.,49779.
26.,49398.
27.,49751.
28.,49575.
29.,49957.
30.,49548.
31.,49981.
32.,49401.
33.,49686.
34.,49550.
35.,49900.
36.,49409.
37.,49695.
38.,49323.
39.,49807.
40.,50092.
41.,49530.
42.,49679.
43.,49751.
44.,49651.
45.,49922.
46.,49778.
47.,49633.
48.,49786.
49.,49939.
50.,50351.
51.,49943.
52.,49793.
53.,49549.
54.,49492.
55.,49934.
56.,49603.
57.,49587.
58.,49694.
59.,49570.
60.,49482.
61.,49486.
62.,49683.
63.,49101.
64.,49989.
65.,49321.
66.,50002.
67.,49978.
68.,49490.
69.,49559.
70.,49877.
71.,49652.
72.,49492.
73.,49770.
74.,50000.
75.,49799.
76.,49879.
77.,49827.
78.,49640.
79.,49687.
80.,49875.
81.,49654.
82.,49787.
83.,49852.
84.,49952.
85.,49793.
86.,49553.
87.,49740.
88.,49561.
89.,49626.
90.,49920.
91.,50097.
92.,49652.
93.,49720.
94.,49775.
95.,49546.
96.,49504.
97.,49667.
98.,49436.
99.,49512.
100.,49630.
101.,49575.
102.,49814.
103.,49454.
104.,49956.
105.,49692.
106.,49491.
107.,49485.
108.,49631.
109.,49898.
110.,49762.
111.,49614.
112.,49786.
113.,49818.
114.,49882.
115.,49937.
116.,49688.
117.,49578.
118.,49896.
119.,49532.
120.,49871.
121.,49300.
122.,49986.
123.,49568.
124.,49716.
125.,49717.
126.,49878.
127.,49511.
128.,49706.
129.,49243.
130.,49453.
131.,49584.
132.,49252.
133.,49488.
134.,49751.
135.,49690.
136.,49837.
137.,49384.
138.,49728.
139.,49288.
140.,49596.
141.,49652.
142.,49922.
143.,49986.
144.,49408.
145.,49554.
146.,49631.
147.,49806.
148.,49842.
149.,50127.
150.,50163.
151.,49616.
152.,49443.
153.,49490.
154.,49374.
155.,49353.
156.,49921.
157.,49725.
158.,49568.
159.,49585.
160.,49285.
161.,50287.
162.,49847.
163.,49585.
164.,49229.
165.,49382.
166.,49814.
167.,49708.
168.,49745.
169.,49193.
170.,49883.
171.,49564.
172.,49751.
173.,49543.
174.,49565.
175.,49582.
176.,50249.
177.,49798.
178.,49246.
179.,49383.
180.,49558.
181.,49833.
182.,49762.
183.,49291.
184.,49524.
185.,50162.
186.,49835.
187.,49497.
188.,49705.
189.,49552.
190.,49466.
191.,49541.
192.,49111.
193.,49789.
194.,49283.
195.,49227.
196.,49530.
197.,49250.
198.,49750.
199.,49439.
200.,49735.
201.,49561.
202.,49862.
203.,49621.
204.,49824.
205.,50123.
206.,49574.
207.,49593.
208.,49458.
209.,49471.
210.,49701.
211.,49445.
212.,49379.
213.,49406.
214.,49554.
215.,49998.
216.,49515.
217.,49666.
218.,49636.
219.,50228.
220.,49771.
221.,49650.
222.,49845.
223.,49930.
224.,49471.
225.,49285.
226.,49502.
227.,49685.
228.,49581.
229.,49567.
230.,49645.
231.,49349.
232.,50002.
233.,49957.
234.,49544.
235.,49297.
236.,49414.
237.,49689.
238.,49685.
239.,49664.
240.,50147.
241.,49382.
242.,49697.
243.,49737.
244.,49418.
245.,49361.
246.,49575.
247.,49489.
248.,49990.
249.,49890.
250.,49491.
251.,49498.
252.,49426.
253.,49415.
254.,49695.
255.,49580.
256.,49533.
257.,49936.
258.,49845.
259.,49580.
260.,49405.
261.,49699.
262.,49374.
263.,49785.
264.,49473.
265.,49324.
266.,49917.
267.,49429.
268.,49594.
269.,49783.
270.,49712.
271.,49555.
272.,49357.
273.,49287.
274.,49190.
275.,50114.
276.,50019.
277.,49735.
278.,49292.
279.,49612.
280.,49985.
281.,49301.
282.,49755.
283.,49614.
284.,49553.
285.,49702.
286.,49247.
287.,49234.
288.,49637.
289.,49541.
290.,49410.
291.,49328.
292.,49571.
293.,49849.
294.,49222.
295.,49655.
296.,49659.
297.,49698.
298.,49655.
299.,49395.
300.,49498.
301.,49474.
302.,49310.
303.,49603.
304.,49193.
305.,49619.
306.,49689.
307.,49918.
308.,49216.
309.,49203.
310.,49334.
311.,50049.
312.,49529.
313.,50043.
314.,49415.
315.,49529.
316.,49304.
317.,49384.
318.,50175.
319.,49763.
320.,49240.
321.,49357.
322.,49459.
323.,49718.
324.,49600.
325.,49474.
326.,49534.
327.,49465.
328.,49815.
329.,49636.
330.,48977.
331.,49686.
332.,49627.
333.,49339.
334.,49697.
335.,49224.
336.,49734.
337.,49634.
338.,49829.
339.,49326.
340.,49492.
341.,49444.
342.,49550.
343.,49499.
344.,49611.
345.,49758.
346.,49630.
347.,49530.
348.,49745.
349.,49595.
350.,49628.
351.,49493.
352.,49622.
353.,49775.
354.,49422.
355.,49672.
356.,49504.
357.,49820.
358.,49780.
359.,49648.
360.,49694.
361.,49270.
362.,49620.
363.,49325.
364.,49369.
365.,49221.
366.,49469.
367.,50172.
368.,49537.
369.,49763.
370.,49547.
371.,49890.
372.,49280.
373.,49486.
374.,49843.
375.,49842.
376.,49689.
377.,49314.
378.,49941.
379.,49591.
380.,49460.
381.,49694.
382.,50164.
383.,49702.
384.,49920.
385.,49525.
386.,49492.
387.,49539.
388.,49350.
389.,49469.
390.,49348.
391.,49680.
392.,49443.
393.,49449.
394.,49580.
395.,49281.
396.,49640.
397.,49426.
398.,49728.
399.,49334.
400.,49636.
401.,49613.
402.,49492.
403.,49173.
404.,49703.
405.,49576.
406.,49404.
407.,49601.
408.,49825.
409.,49177.
410.,49890.
411.,49323.
412.,49558.
413.,50039.
414.,50008.
415.,49942.
416.,49810.
417.,49815.
418.,49812.
419.,49964.
420.,49581.
421.,49235.
422.,49580.
423.,49356.
424.,49963.
425.,49942.
426.,49506.
427.,49869.
428.,49721.
429.,49913.
430.,49551.
431.,49360.
432.,49629.
433.,49634.
434.,49670.
435.,49423.
436.,49673.
437.,49513.
438.,49452.
439.,49269.
440.,49772.
441.,49918.
442.,49961.
443.,49990.
444.,49260.
445.,49522.
446.,49748.
447.,49681.
448.,49865.
449.,49474.
450.,49649.
451.,49789.
452.,49596.
453.,49095.
454.,49772.
455.,49876.
456.,49570.
457.,49834.
