Channel 1!!!_x,Channel 1!!!_y
0.,1.0368135244
1.,1.0386182477
2.,0.9935001657
3.,1.0151568451
4.,1.0476418641
5.,1.0214733765
6.,0.9980119739
7.,1.0187662916
8.,0.9935001657
9.,0.9754529329
10.,1.0250828231
11.,1.0133521218
12.,0.9835741877
13.,1.0196686533
14.,1.0007190588
15.,0.9492844453
16.,0.9826718260
17.,0.9754529329
18.,1.0160592067
19.,1.1189284337
20.,0.9682340398
21.,1.0196686533
22.,1.0016214205
23.,1.0070355903
24.,0.9871836342
25.,0.9980119739
26.,0.9808671027
27.,1.0124497601
28.,1.0485442257
29.,1.0115473985
30.,1.0169615683
31.,0.9546986152
32.,1.0647867353
33.,1.0016214205
34.,0.9799647411
35.,1.0007190588
36.,1.0151568451
37.,1.0106450369
38.,1.0088403136
39.,1.0115473985
40.,0.9610151467
41.,1.0503489490
42.,1.0864434146
43.,0.9944025273
44.,1.0638843736
45.,0.9574057001
46.,1.0133521218
47.,1.0124497601
48.,0.9889883575
49.,1.0368135244
50.,0.9249206811
51.,1.0223757382
52.,0.9962072506
53.,0.9980119739
54.,1.0557631189
55.,0.9718434863
56.,1.0656890969
57.,0.995304889
58.,1.0341064395
59.,1.0106450369
60.,1.0052308670
61.,0.9781600178
62.,1.0449347792
63.,1.0431300559
64.,1.0214733765
65.,1.0304969929
66.,1.0133521218
67.,1.0079379519
68.,1.0160592067
69.,0.9528938919
70.,0.9844765493
71.,1.0584702038
72.,1.0187662916
73.,1.0088403136
74.,1.0386182477
75.,1.0611772887
76.,0.9745505713
77.,1.0413253326
78.,1.0151568451
79.,1.0422276943
80.,0.9772576562
81.,0.9871836342
82.,1.0151568451
83.,1.0539583956
84.,0.9916954424
85.,1.0205710149
86.,1.0223757382
87.,1.0061332287
88.,1.0467395025
89.,0.9637222316
90.,1.0241804615
91.,0.9944025273
92.,1.0124497601
93.,0.9871836342
94.,1.0350088011
95.,1.0566654805
96.,1.0232780998
97.,1.0097426752
98.,1.0377158861
99.,1.0341064395
100.,1.01786393
101.,0.9249206811
102.,0.9916954424
103.,1.0160592067
104.,0.9844765493
105.,1.0214733765
106.,1.0025237821
107.,1.0368135244
108.,0.9898907191
109.,0.9944025273
110.,0.9601127850
111.,1.0304969929
112.,1.0431300559
113.,1.0521536723
114.,1.0115473985
115.,0.9673316781
116.,1.0196686533
117.,0.9655269549
118.,0.9817694644
119.,0.9718434863
120.,1.0052308670
121.,1.0377158861
122.,0.9853789109
123.,1.0160592067
124.,0.9989143355
125.,1.0494465874
126.,1.0241804615
127.,1.0097426752
128.,1.0079379519
129.,0.9880859959
130.,1.0548607572
131.,1.0196686533
132.,1.0088403136
133.,1.0359111628
134.,0.9889883575
135.,0.9835741877
136.,0.9907930808
137.,1.0016214205
138.,1.0088403136
139.,1.0070355903
140.,0.9817694644
