Channel 1!!!_x,Channel 1!!!_y
0.,22717239.
1.,22707006.
2.,22716546.
3.,22713022.
4.,22716338.
5.,22720097.
6.,22724606.
7.,22722822.
8.,22714427.
9.,22721127.
10.,22711250.
11.,22721662.
12.,22712233.
13.,22717646.
14.,22714588.
15.,22704913.
16.,22725269.
17.,22710580.
18.,22719090.
19.,22710965.
20.,22717945.
21.,22721232.
22.,22711990.
23.,22711290.
24.,22724860.
25.,22722241.
26.,22710583.
27.,22721687.
28.,22712815.
29.,22725518.
30.,22715638.
31.,22715973.
32.,22716592.
33.,22713763.
34.,22716916.
35.,22717314.
36.,22714616.
37.,22715598.
38.,22708674.
39.,22719565.
40.,22721313.
41.,22715086.
42.,22712705.
43.,22719589.
44.,22719135.
45.,22712722.
46.,22715418.
47.,22722400.
48.,22714035.
49.,22723055.
50.,22710046.
51.,22709789.
52.,22708231.
53.,22719790.
54.,22714243.
55.,22708185.
56.,22715921.
57.,22706841.
58.,22720741.
59.,22715132.
60.,22707960.
61.,22713130.
62.,22715930.
63.,22706941.
64.,22713976.
65.,22714579.
66.,22716246.
67.,22715521.
68.,22714760.
69.,22709685.
70.,22710544.
71.,22716137.
72.,22712374.
73.,22708962.
74.,22699617.
75.,22704449.
76.,22710152.
77.,22710920.
78.,22706097.
79.,22716275.
80.,22709775.
81.,22713812.
82.,22708175.
83.,22705963.
84.,22703681.
85.,22705281.
86.,22714932.
87.,22713155.
88.,22711601.
89.,22706446.
90.,22703296.
91.,22707666.
92.,22697282.
93.,22712435.
94.,22698588.
95.,22701984.
96.,22715550.
97.,22706355.
98.,22694656.
99.,22699688.
100.,22698797.
101.,22696422.
102.,22698641.
103.,22704602.
104.,22696013.
105.,22701416.
106.,22704786.
107.,22703845.
108.,22692061.
109.,22700031.
110.,22699669.
111.,22698780.
112.,22701074.
113.,22688151.
114.,22693119.
115.,22698796.
116.,22696853.
117.,22680196.
118.,22690825.
119.,22692512.
120.,22700485.
121.,22689072.
122.,22686318.
123.,22687104.
124.,22682973.
125.,22694346.
126.,22684389.
127.,22697033.
128.,22684423.
129.,22686040.
