Channel 1!!!_x,Channel 1!!!_y
0.,2.5361904650
1.,2.5183288148
2.,2.5274071214
3.,2.532323172
4.,2.5228843549
5.,2.535895502
6.,2.522982676
7.,2.529439089
8.,2.5159035632
9.,2.5139699167
10.,2.5235398284
11.,2.5303895254
12.,2.5290130313
13.,2.5048916100
14.,2.5215734081
15.,2.5188204198
16.,2.5244247174
17.,2.5162312999
18.,2.5252440592
19.,2.5282264632
20.,2.5184599095
21.,2.5245230385
22.,2.5316349249
23.,2.5223599762
24.,2.523080997
25.,2.5286197472
26.,2.5339618555
27.,2.5334047031
28.,2.5294718626
29.,2.5173128310
30.,2.5145598427
31.,2.5176077941
32.,2.5206557454
33.,2.5246213595
34.,2.5234087337
35.,2.5158052422
36.,2.5060386885
37.,2.5333063821
38.,2.5257684379
39.,2.5132816696
40.,2.5247524541
41.,2.5209507084
42.,2.5252768329
43.,2.5204263297
44.,2.5179683044
45.,2.5143959744
46.,2.5119707228
47.,2.5274398951
48.,2.5293735416
49.,2.5065958409
50.,2.5185910042
51.,2.5160018842
52.,2.5101353973
53.,2.5131505749
54.,2.5127572909
55.,2.5223272026
56.,2.5139699167
57.,2.5115446651
58.,2.504400005
59.,2.5180338518
60.,2.5173128310
61.,2.5131833486
62.,2.5193120249
63.,2.5028268688
64.,2.5119707228
65.,2.5238675651
66.,2.5109547390
67.,2.5128556119
68.,2.5206557454
69.,2.5148220321
70.,2.5030562845
71.,2.5292096733
72.,2.5150514478
73.,2.5138060483
74.,2.5260961746
75.,2.5080378824
76.,2.4949939616
77.,2.5204918770
78.,2.529242447
79.,2.510561455
80.,2.5170834153
81.,2.5196725353
82.,2.5203280087
83.,2.5171161890
84.,2.5226221656
85.,2.5114135704
86.,2.5176733414
87.,2.5055143098
88.,2.5171161890
89.,2.5285869736
90.,2.5184926831
91.,2.5113152494
92.,2.5122984595
93.,2.5253751539
94.,2.5161002052
95.,2.5063008778
96.,2.5185254568
97.,2.5109547390
98.,2.5237364704
99.,2.5152153161
100.,2.5179355308
101.,2.5184271358
102.,2.5099387552
103.,2.5004671646
104.,2.5239986597
105.,2.5309794515
106.,2.488504775
107.,2.5084967137
108.,2.5274398951
109.,2.5125278752
110.,2.5252768329
111.,2.5254079275
112.,2.5256701169
113.,2.5108891917
114.,2.4960099454
115.,2.5093816028
116.,2.5131505749
117.,2.5059403675
118.,2.5124623278
119.,2.5259323063
120.,2.5113480231
121.,2.513543859
122.,2.5177388887
123.,2.5255390222
124.,2.5142976534
125.,2.5298323730
126.,2.5035806632
127.,2.51980363
128.,2.5197380826
129.,2.5268171954
130.,2.4922409734
131.,2.5176077941
132.,2.5205246507
133.,2.5182960411
134.,2.5266205533
135.,2.5096765659
136.,2.5076445983
137.,2.5291113523
138.,2.5088899978
139.,2.523277639
140.,2.5027285478
141.,2.5044655523
142.,2.5328475507
143.,2.5126917435
144.,2.5038100789
145.,2.5357644073
146.,2.5221305605
147.,2.5083000717
148.,2.5024335848
149.,2.5026957741
150.,2.5102664919
151.,2.5121345911
152.,2.4962393611
153.,2.5064975199
154.,2.5152153161
155.,2.5009587696
156.,2.5236053757
157.,2.5081689770
158.,2.5167556786
159.,2.5267516480
160.,2.5181977201
161.,2.5173783784
162.,2.5056126308
163.,2.5141010113
164.,2.5322903983
165.,2.5057437255
166.,2.5118724018
167.,2.5219011448
168.,2.5222616552
169.,2.5149203531
170.,2.5166901313
171.,2.5086605821
172.,2.5137732746
173.,2.5281936895
174.,2.5038756263
175.,2.5180010781
176.,2.5340601765
177.,2.5088244505
178.,2.5002705225
179.,2.520000272
180.,2.5100370762
181.,2.5133144433
182.,2.5205246507
183.,2.5159035632
184.,2.5324542666
185.,2.5205246507
186.,2.5283575579
187.,2.526456685
188.,2.5153136371
189.,2.5253423802
190.,2.5185910042
191.,2.5419914046
192.,2.5133144433
193.,2.5245558121
194.,2.5214750871
195.,2.510463134
196.,2.5117085334
197.,2.5036789842
198.,2.5053832151
199.,2.5190170619
200.,2.4907989319
201.,2.5296029573
202.,2.5079395614
203.,2.4924703890
204.,2.5210162557
205.,2.5138060483
206.,2.5173128310
207.,2.5127245172
208.,2.5225566182
209.,2.5161985262
210.,2.5260306273
