Channel 1!!!_x,Channel 1!!!_y
0.,1.0489199358
1.,1.0218746134
2.,1.0043317016
3.,1.0021388376
4.,1.033569888
5.,1.0145650668
6.,1.0072555202
7.,1.0043317016
8.,0.9955602457
9.,0.9758244699
10.,1.0204127041
11.,1.0050626563
12.,1.0006769283
13.,1.0167579308
14.,1.0269912960
15.,0.9597434674
16.,0.999215019
17.,1.001407883
18.,1.0174888855
19.,1.0861986234
20.,0.9743625606
21.,1.0467270718
22.,0.9897126084
23.,1.0131031575
24.,0.9802101979
25.,1.003600747
26.,0.9685149233
27.,1.0145650668
28.,1.0430722985
29.,0.9962912004
30.,1.0072555202
31.,0.9648601500
32.,1.0628080743
33.,1.0255293867
34.,0.9758244699
35.,1.0321079787
36.,1.0101793389
37.,0.9897126084
38.,0.9860578351
39.,1.0094483842
40.,0.9597434674
41.,1.0423413439
42.,1.0774271675
43.,0.9882506991
44.,1.0379556159
45.,0.9758244699
46.,1.0152960215
47.,1.0028697923
48.,0.9955602457
49.,1.0204127041
50.,0.9590125127
51.,1.0174888855
52.,0.9882506991
53.,1.0065245656
54.,1.0343008426
55.,0.9780173339
56.,1.0547675731
57.,1.0145650668
58.,1.0240674774
59.,1.0496508905
60.,0.9970221550
61.,0.9648601500
62.,1.0591533010
63.,1.0489199358
64.,1.0306460693
65.,1.0211436588
66.,1.0116412482
67.,0.9999459737
68.,1.0343008426
69.,0.9663220593
70.,0.9948292910
71.,1.0372246613
72.,0.999215019
73.,1.0152960215
74.,1.0277222507
75.,1.0321079787
76.,0.9867887898
77.,1.0233365227
78.,1.0116412482
79.,1.0408794346
80.,0.9867887898
81.,0.9772863792
82.,1.0131031575
83.,1.0445342079
84.,1.0152960215
85.,1.0379556159
86.,1.0145650668
87.,0.9940983364
88.,1.0386865706
89.,0.9685149233
90.,1.0152960215
91.,0.9860578351
92.,1.0057936109
93.,0.9955602457
94.,1.0291841600
95.,1.0233365227
96.,1.033569888
97.,1.0211436588
98.,1.0416103892
99.,1.0277222507
100.,1.033569888
101.,0.9341600543
102.,0.9984840643
103.,1.0152960215
104.,0.9867887898
105.,1.0174888855
106.,1.001407883
107.,1.0416103892
108.,1.001407883
109.,0.9948292910
110.,0.9809411525
111.,1.0211436588
112.,1.0291841600
113.,1.0547675731
114.,1.0131031575
115.,0.9612053767
116.,1.0269912960
117.,0.9685149233
118.,0.9736316059
119.,0.9655911047
120.,1.0167579308
121.,1.0511127998
122.,0.9809411525
123.,1.0123722029
124.,1.0065245656
125.,1.0379556159
126.,1.0269912960
127.,1.0174888855
128.,1.0152960215
129.,0.9882506991
130.,1.0613461650
131.,1.003600747
132.,1.0189507948
133.,1.0408794346
134.,0.9999459737
135.,0.9860578351
136.,0.9919054724
137.,1.0152960215
138.,1.0233365227
139.,0.9933673817
140.,0.9853268805
141.,1.0328389333
142.,1.0065245656
143.,0.9787482885
144.,1.0386865706
145.,0.9831340165
146.,0.9831340165
147.,1.0269912960
148.,1.0050626563
149.,1.0145650668
150.,0.9831340165
151.,0.9911745177
152.,1.0489199358
153.,0.9758244699
154.,0.9604744221
155.,1.031377024
156.,1.0430722985
157.,1.0247984321
158.,0.9655911047
159.,1.0540366184
160.,1.0277222507
161.,1.0269912960
162.,0.9816721072
163.,1.0006769283
164.,1.0094483842
165.,1.0079864749
166.,1.0255293867
167.,0.9984840643
168.,0.9948292910
169.,1.0562294824
170.,1.0430722985
171.,1.0372246613
172.,1.0204127041
173.,0.9787482885
174.,1.0306460693
175.,0.9809411525
176.,1.0116412482
177.,1.0350317973
178.,1.0394175252
179.,0.9875197445
180.,1.0182198401
181.,0.9904435631
182.,0.9765554246
183.,1.0057936109
184.,1.0408794346
185.,1.0408794346
186.,1.0408794346
187.,1.0321079787
188.,0.9538958301
189.,1.031377024
190.,0.9984840643
191.,1.0211436588
192.,1.0079864749
193.,1.0211436588
194.,1.0343008426
195.,0.9831340165
196.,1.0284532054
197.,0.9889816538
198.,0.9970221550
199.,0.9677839687
200.,0.9955602457
201.,1.0138341122
202.,1.0503818451
203.,1.0174888855
204.,1.035762752
205.,1.0269912960
206.,1.0715795303
207.,0.9458553289
208.,0.9685149233
209.,0.9838649712
210.,1.0087174296
211.,1.0247984321
212.,1.0189507948
213.,1.0160269762
214.,0.9845959258
215.,1.0043317016
216.,1.0131031575
217.,1.0218746134
218.,0.999215019
219.,1.0255293867
220.,1.0247984321
221.,0.9926364271
222.,0.9948292910
223.,0.9940983364
224.,1.035762752
225.,0.9831340165
226.,0.9582815581
227.,1.0269912960
228.,0.9940983364
229.,0.9977531097
230.,1.0277222507
231.,1.0247984321
232.,1.0131031575
233.,0.9970221550
234.,1.0123722029
235.,1.0233365227
236.,0.9326981450
237.,1.0364937066
238.,0.9824030618
239.,0.9663220593
240.,0.9794792432
241.,1.0496508905
242.,0.9911745177
243.,1.0109102935
244.,1.0101793389
245.,1.0196817495
246.,0.9948292910
247.,1.0540366184
248.,1.0167579308
249.,0.9933673817
250.,1.0065245656
251.,1.0240674774
252.,0.9919054724
253.,1.0598842557
254.,1.0116412482
255.,0.9721696966
256.,1.0050626563
257.,1.0277222507
258.,0.9867887898
259.,1.0459961172
260.,0.9604744221
261.,1.0160269762
262.,0.9422005556
263.,0.9816721072
264.,1.0196817495
265.,1.0218746134
266.,1.0233365227
267.,1.0438032532
268.,0.9780173339
269.,0.9999459737
270.,1.0218746134
271.,0.9729006513
272.,0.9517029662
273.,1.0277222507
274.,1.0182198401
275.,0.9626672860
276.,1.0072555202
277.,1.0233365227
278.,0.9590125127
279.,0.9948292910
280.,1.0416103892
281.,1.0131031575
282.,0.9911745177
283.,1.0116412482
284.,1.0416103892
285.,0.9867887898
286.,0.9962912004
287.,1.0240674774
288.,1.0262603414
289.,1.0438032532
290.,0.9948292910
291.,0.9860578351
292.,0.9721696966
293.,1.0598842557
294.,0.9999459737
295.,0.9582815581
296.,0.9743625606
297.,1.0160269762
298.,1.0065245656
299.,1.0343008426
300.,1.0299151147
301.,0.9897126084
302.,1.0021388376
303.,1.0109102935
304.,0.9772863792
305.,1.0145650668
306.,1.0343008426
307.,0.9604744221
308.,1.0613461650
309.,0.9721696966
310.,1.0247984321
311.,1.0452651625
312.,0.9926364271
313.,1.0277222507
314.,1.0057936109
315.,1.0006769283
316.,1.0350317973
317.,0.9867887898
318.,0.9743625606
319.,1.0730414396
320.,1.0606152104
321.,1.0109102935
322.,1.0408794346
323.,1.0291841600
324.,1.033569888
325.,0.9465862835
326.,0.9677839687
327.,0.9977531097
328.,0.999215019
329.,1.0204127041
330.,1.0182198401
331.,0.9699768326
332.,0.9816721072
333.,0.9677839687
334.,0.9977531097
335.,1.0196817495
336.,1.0123722029
337.,1.0116412482
338.,0.9875197445
339.,1.0057936109
340.,0.9721696966
341.,0.9904435631
342.,1.0328389333
343.,1.0167579308
344.,0.9765554246
345.,0.9948292910
346.,1.0467270718
347.,1.0372246613
348.,1.001407883
349.,1.0196817495
350.,0.9940983364
351.,0.9838649712
352.,1.0145650668
353.,0.9867887898
354.,1.065731893
355.,0.9867887898
356.,1.0094483842
357.,0.9867887898
