Channel 1!!!_x,Channel 1!!!_y
0.,1163279.
1.,1158897.
2.,1160062.
3.,1161287.
4.,1160266.
5.,1162801.
6.,1160407.
7.,1160537.
8.,1160291.
9.,1160452.
10.,1160387.
11.,1158633.
12.,1160780.
13.,1160649.
14.,1163350.
15.,1158647.
16.,1160503.
17.,1159832.
18.,1162034.
19.,1160262.
20.,1158704.
21.,1160490.
22.,1159319.
23.,1161347.
24.,1162259.
25.,1160507.
26.,1161381.
27.,1159119.
28.,1158042.
29.,1162150.
30.,1161104.
31.,1161372.
32.,1160376.
33.,1158954.
34.,1160936.
35.,1161103.
36.,1161055.
37.,1160605.
38.,1161228.
39.,1160357.
40.,1159692.
41.,1159959.
42.,1160521.
43.,1157049.
44.,1160774.
45.,1158960.
46.,1161322.
47.,1158226.
48.,1159196.
49.,1160526.
50.,1160254.
51.,1160970.
52.,1158482.
53.,1160085.
54.,1159446.
55.,1161206.
56.,1159693.
57.,1159279.
58.,1162213.
59.,1159541.
60.,1160118.
61.,1159629.
62.,1160066.
63.,1159914.
64.,1160693.
65.,1160264.
66.,1158852.
67.,1159599.
68.,1161060.
69.,1160635.
70.,1162341.
71.,1161008.
72.,1160066.
73.,1159724.
74.,1158233.
75.,1158619.
76.,1159446.
77.,1159558.
78.,1161273.
79.,1160846.
80.,1160860.
81.,1159954.
82.,1161357.
83.,1160370.
84.,1159167.
85.,1159013.
86.,1159974.
87.,1160012.
88.,1158053.
89.,1159793.
90.,1158451.
91.,1159964.
92.,1159744.
93.,1160473.
94.,1158742.
95.,1159851.
96.,1160802.
97.,1158602.
98.,1162749.
99.,1159019.
100.,1161100.
101.,1158888.
102.,1160501.
103.,1159428.
104.,1160091.
105.,1161222.
106.,1159074.
107.,1159957.
108.,1159095.
109.,1159307.
110.,1160392.
111.,1159194.
112.,1159102.
113.,1160516.
114.,1160024.
115.,1159720.
116.,1157474.
117.,1160043.
118.,1158276.
119.,1158686.
120.,1160757.
121.,1157129.
122.,1157332.
123.,1158064.
124.,1161069.
125.,1159779.
126.,1158859.
127.,1160866.
128.,1157844.
129.,1157935.
130.,1160614.
131.,1161285.
132.,1161424.
133.,1160130.
134.,1159189.
135.,1158885.
136.,1159234.
137.,1160949.
138.,1161042.
139.,1159564.
140.,1159835.
141.,1157469.
142.,1158543.
143.,1158111.
144.,1159561.
145.,1158412.
146.,1156965.
147.,1160783.
148.,1157688.
149.,1158450.
150.,1158048.
151.,1158426.
152.,1159252.
153.,1159031.
154.,1158402.
155.,1158968.
156.,1156735.
157.,1159888.
158.,1158384.
159.,1157739.
160.,1160999.
161.,1156908.
162.,1159382.
163.,1159235.
164.,1160255.
165.,1159287.
166.,1158018.
167.,1157872.
168.,1161133.
169.,1161073.
170.,1159065.
171.,1159799.
172.,1157908.
173.,1158830.
174.,1158489.
175.,1158193.
176.,1158779.
177.,1158664.
178.,1160250.
179.,1158868.
180.,1159813.
181.,1158015.
182.,1159933.
183.,1157644.
184.,1159013.
185.,1160135.
186.,1158882.
187.,1158221.
188.,1159197.
189.,1159801.
190.,1159133.
191.,1159498.
192.,1158849.
193.,1159245.
194.,1157834.
195.,1158791.
196.,1159846.
197.,1159047.
198.,1158815.
199.,1158751.
200.,1156789.
201.,1157160.
202.,1158020.
203.,1158543.
204.,1157210.
205.,1159233.
206.,1159638.
207.,1158029.
208.,1159159.
209.,1158748.
210.,1159280.
211.,1159169.
212.,1160025.
213.,1159485.
214.,1158004.
215.,1160190.
216.,1158071.
217.,1158310.
218.,1157801.
219.,1157920.
220.,1158249.
221.,1158394.
222.,1158936.
223.,1159032.
224.,1159943.
225.,1155032.
226.,1156630.
227.,1156904.
228.,1157892.
229.,1158776.
230.,1156043.
231.,1159382.
232.,1158937.
233.,1158126.
234.,1157161.
235.,1156742.
236.,1159891.
237.,1158596.
238.,1157159.
239.,1158801.
240.,1158898.
241.,1157800.
242.,1157699.
243.,1157646.
244.,1159952.
245.,1156406.
246.,1159285.
247.,1159655.
248.,1158394.
249.,1158593.
250.,1157048.
251.,1157412.
252.,1159255.
253.,1155941.
254.,1158216.
255.,1156646.
256.,1157975.
257.,1157784.
258.,1158015.
259.,1158239.
260.,1158120.
261.,1158603.
262.,1157605.
263.,1157587.
264.,1159592.
265.,1158627.
266.,1156398.
267.,1157121.
268.,1157911.
269.,1158646.
270.,1160371.
271.,1157782.
272.,1157642.
273.,1158616.
274.,1158634.
