"Channel 1!!!_x","Channel 1!!!_y"
0,3.210625418,
1,3.553443738,
2,3.012845619,
3,3.171069458,
4,3.302922658,
5,3.236996058,
6,3.197440098,
7,2.993067639,
8,3.243588718,
9,3.421590538,
10,3.098550199,
11,3.269959358,
12,3.105142859,
13,3.395219898,
14,3.302922658,
15,3.316107978,
16,3.289737338,
17,3.500702458,
18,3.434775858,
19,3.316107978,
20,3.553443738,
21,3.177662118,
22,3.309515318,
23,3.072179559,
24,3.111735519,
25,3.269959358,
26,3.124920838,
27,3.210625418,
28,3.236996058,
29,3.408405218,
30,3.309515318,
31,3.204032758,
32,3.230403398,
33,3.368849258,
34,2.973289659,
35,3.164476798,
36,3.302922658,
37,3.230403398,
38,3.157884138,
39,3.461146498,
40,3.118328178,
41,3.250181378,
42,3.276552018,
43,3.309515318,
44,3.296329998,
45,3.362256598,
46,3.289737338,
47,3.197440098,
48,3.171069458,
49,3.527073098,
50,3.487517138,
51,3.098550199,
52,3.401812558,
53,3.467739158,
54,3.085364879,
55,2.854621779,
56,3.111735519,
57,3.197440098,
58,3.349071278,
59,3.269959358,
60,3.421590538,
61,3.098550199,
62,3.382034578,
63,3.111735519,
64,3.184254778,
65,3.309515318,
66,3.289737338,
67,3.395219898,
68,3.263366698,
69,3.177662118,
70,3.144698818,
71,3.210625418,
72,3.138106158,
73,3.171069458,
74,3.533665758,
75,3.157884138,
76,3.414997878,
77,3.302922658,
78,3.250181378,
79,3.045808919,
80,3.349071278,
81,3.223810738,
82,3.487517138,
83,3.335885958,
84,3.289737338,
85,3.520480438,
86,3.105142859,
87,3.414997878,
88,3.157884138,
89,3.316107978,
90,3.190847438,
91,3.296329998,
92,3.263366698,
93,3.131513498,
94,3.144698818,
95,3.217218078,
96,3.250181378,
97,3.342478618,
98,3.230403398,
99,3.388627238,
100,3.098550199,
101,3.105142859,
102,3.210625418,
103,3.480924478,
104,3.428183198,
105,2.973289659,
106,3.329293298,
107,3.217218078,
108,3.276552018,
109,3.250181378,
110,3.342478618,
111,3.296329998,
112,3.289737338,
113,3.355663938,
114,3.217218078,
115,3.296329998,
116,3.131513498,
117,3.355663938,
118,3.335885958,
119,3.157884138,
120,3.474331818,
121,3.230403398,
122,3.289737338,
123,3.190847438,
124,3.553443738,
125,3.566629058,
126,3.395219898,
127,3.072179559,
128,3.250181378,
129,3.329293298,
130,3.434775858,
131,3.019438279,
132,3.250181378,
133,3.447961178,
134,3.428183198,
135,3.006252959,
136,3.138106158,
137,3.421590538,
138,3.500702458,
139,3.217218078,
140,3.283144678,
141,3.316107978,
142,3.197440098,
143,3.256774038,
144,3.527073098,
145,3.316107978,
146,3.309515318,
147,3.349071278,
148,3.388627238,
149,3.197440098,
150,3.190847438,
151,3.283144678,
152,3.322700638,
153,3.230403398,
154,3.072179559,
155,2.894177739,
156,3.316107978,
157,3.434775858,
158,3.072179559,
159,3.619370338,
160,3.342478618,
161,3.078772219,
162,3.382034578,
163,3.217218078,
164,3.118328178,
165,3.045808919,
166,3.236996058,
167,3.236996058,
168,3.296329998,
169,2.946919019,
170,3.065586899,
171,3.447961178,
172,3.210625418,
173,3.382034578,
174,3.309515318,
175,3.256774038,
176,3.256774038,
177,3.190847438,
178,3.309515318,
179,3.276552018,
180,3.190847438,
181,3.335885958,
182,3.362256598,
183,3.289737338,
184,3.045808919,
185,3.210625418,
186,3.309515318,
187,3.269959358,
188,3.184254778,
189,3.296329998,
190,3.283144678,
191,3.269959358,
192,3.342478618,
193,3.500702458,
194,3.480924478,
195,3.230403398,
196,3.533665758,
197,3.375441918,
198,3.316107978,
199,3.395219898,
200,3.164476798,
201,3.335885958,
202,3.401812558,
203,3.401812558,
204,3.263366698,
205,3.026030939,
206,3.204032758,
207,3.302922658,
208,3.467739158,
209,3.210625418,
210,3.408405218,
211,3.105142859,
212,3.520480438,
213,3.480924478,
214,3.342478618,
215,3.335885958,
216,3.302922658,
217,3.421590538,
218,3.058994239,
219,3.467739158,
220,3.382034578,
221,3.368849258,
222,3.085364879,
223,3.250181378,
224,3.302922658,
225,3.467739158,
226,3.375441918,
227,3.368849258,
228,3.250181378,
229,3.454553838,
230,3.085364879,
231,3.263366698,
232,3.269959358,
233,3.441368518,
234,3.447961178,
235,3.487517138,
236,3.210625418,
237,3.269959358,
238,3.421590538,
239,3.217218078,
240,3.236996058,
241,3.335885958,
242,3.527073098,
243,3.204032758,
244,3.428183198,
245,3.236996058,
246,3.362256598,
247,3.190847438,
248,3.434775858,
249,3.098550199,
