Channel 1!!!_x,Channel 1!!!_y
0.,4062.
1.,4100.
2.,4119.
3.,4138.
4.,3968.
5.,3986.
6.,4050.
7.,3936.
8.,4015.
9.,4128.
10.,3954.
11.,4003.
12.,4054.
13.,4059.
14.,4073.
15.,4054.
16.,4092.
17.,4130.
18.,4175.
19.,4116.
20.,4002.
21.,3974.
22.,4097.
23.,4113.
24.,4058.
25.,4134.
26.,3961.
27.,4046.
28.,4039.
29.,4081.
30.,4150.
31.,4098.
32.,4114.
33.,3936.
34.,4103.
35.,4021.
36.,4148.
37.,4152.
38.,4052.
39.,3931.
40.,4034.
41.,3997.
42.,3954.
43.,4023.
44.,3988.
45.,4036.
46.,4084.
47.,4034.
48.,3987.
49.,4108.
50.,4177.
51.,4097.
52.,4096.
53.,3898.
54.,3948.
55.,4090.
56.,4062.
57.,3989.
58.,4130.
59.,4039.
60.,3929.
61.,4004.
62.,4071.
63.,3951.
64.,4079.
65.,4093.
66.,4096.
67.,4148.
68.,3935.
69.,4115.
70.,3959.
71.,3984.
72.,4075.
73.,4065.
74.,4078.
75.,4006.
76.,4180.
77.,4027.
78.,4062.
79.,4012.
80.,3995.
81.,4031.
82.,4144.
83.,4095.
84.,4142.
85.,4179.
86.,4023.
87.,4103.
88.,3997.
89.,4023.
90.,4184.
91.,4039.
92.,4100.
93.,4027.
94.,4151.
95.,3959.
96.,4137.
97.,3979.
98.,4159.
99.,4172.
100.,4072.
101.,4106.
102.,3995.
103.,4074.
104.,4013.
105.,4016.
106.,4143.
107.,4028.
108.,4031.
109.,3957.
110.,4092.
111.,4074.
112.,3992.
113.,4037.
114.,3981.
115.,3994.
116.,4187.
117.,4186.
118.,3956.
119.,4069.
120.,4043.
121.,4072.
122.,3988.
123.,4134.
124.,4075.
125.,4113.
126.,4000.
127.,4122.
128.,4139.
129.,4074.
130.,3922.
131.,3995.
132.,4079.
133.,4073.
134.,4140.
135.,4007.
136.,4068.
137.,4202.
138.,4031.
139.,4116.
140.,4009.
141.,3997.
142.,3994.
143.,4100.
144.,4116.
145.,4077.
146.,4000.
147.,4081.
148.,3926.
149.,4025.
150.,4143.
151.,4134.
152.,4004.
153.,4080.
154.,4102.
155.,4084.
156.,3961.
157.,4118.
158.,4173.
159.,4010.
160.,4191.
161.,4072.
162.,4130.
163.,4139.
164.,4104.
165.,4059.
166.,4136.
167.,4115.
168.,4052.
169.,4003.
170.,4153.
171.,3937.
172.,4044.
173.,4127.
174.,4078.
175.,4071.
176.,3986.
177.,4029.
178.,4031.
179.,4097.
180.,4144.
181.,4038.
182.,4095.
183.,4067.
