Channel 1!!!_x,Channel 1!!!_y
0.,39250.
1.,39261.
2.,39173.
3.,39377.
4.,39498.
5.,39607.
6.,38911.
7.,39505.
8.,39015.
9.,39226.
10.,39554.
11.,39215.
12.,39252.
13.,39082.
14.,39491.
15.,39452.
16.,39427.
17.,39284.
18.,39299.
19.,39245.
20.,39411.
21.,39297.
22.,39394.
23.,39499.
24.,39433.
25.,39342.
26.,39573.
27.,39425.
28.,38957.
29.,39506.
30.,39251.
31.,39317.
32.,39049.
33.,39101.
34.,38889.
35.,39366.
36.,39305.
37.,39463.
38.,39133.
39.,39369.
40.,39322.
41.,39381.
42.,39147.
43.,39506.
44.,38984.
45.,39277.
46.,39147.
47.,39180.
48.,39372.
49.,39290.
50.,39257.
51.,39232.
52.,39330.
53.,39200.
54.,39345.
55.,39618.
56.,39291.
57.,39117.
58.,39066.
59.,39274.
60.,39509.
61.,39482.
62.,39200.
63.,39492.
64.,39171.
65.,39453.
66.,39392.
67.,39299.
68.,39254.
69.,39125.
70.,39589.
71.,39192.
72.,39368.
73.,39226.
74.,39571.
75.,39579.
76.,39176.
77.,39533.
78.,39162.
79.,39076.
80.,39343.
81.,39178.
82.,39330.
83.,39119.
84.,39468.
85.,38827.
86.,39139.
87.,39178.
88.,39436.
89.,39871.
90.,39349.
91.,39285.
92.,39411.
93.,39149.
94.,39122.
95.,38913.
96.,39363.
97.,39294.
98.,39092.
99.,39181.
100.,39063.
101.,39105.
102.,39201.
103.,39316.
104.,39430.
105.,39276.
106.,39479.
107.,38831.
108.,39077.
109.,39223.
110.,39499.
111.,38959.
112.,39390.
113.,39309.
114.,39482.
115.,39115.
116.,38940.
117.,39039.
118.,39132.
119.,38709.
120.,39167.
121.,39310.
122.,39366.
123.,39373.
124.,39258.
125.,39032.
126.,39219.
127.,39219.
128.,39195.
129.,39232.
130.,39218.
131.,39214.
132.,39400.
133.,39334.
134.,39291.
135.,39286.
136.,39391.
137.,39532.
138.,39534.
139.,39215.
140.,39150.
141.,39374.
142.,38945.
143.,39461.
144.,39404.
145.,39518.
146.,39094.
147.,39300.
148.,39377.
149.,39187.
150.,39346.
151.,39062.
152.,39306.
153.,39341.
154.,39276.
155.,39151.
156.,39247.
157.,39392.
158.,39106.
159.,38993.
160.,39016.
161.,39343.
162.,39398.
163.,39075.
164.,38949.
