"Channel 1!!!_x","Channel 1!!!_y"
0,1.299912476,
1,1.286371721,
2,1.015556622,
3,1.110341907,
4,1.137423417,
5,1.218667947,
6,1.340534741,
7,1.137423417,
8,1.178045682,
9,1.083260397,
10,1.002015867,
11,1.286371721,
12,1.232208702,
13,1.123882662,
14,1.137423417,
15,0.9884751123,
16,1.259290212,
17,1.029097377,
18,1.069719642,
19,1.083260397,
20,1.205127192,
21,1.218667947,
22,1.313453231,
23,1.110341907,
24,1.164504927,
25,1.259290212,
26,1.150964172,
27,1.259290212,
28,1.191586437,
29,1.083260397,
30,1.178045682,
31,1.002015867,
32,1.056178887,
33,1.150964172,
34,1.110341907,
35,1.245749457,
36,1.110341907,
37,0.9884751123,
38,1.313453231,
39,1.069719642,
40,1.191586437,
41,1.042638132,
42,1.245749457,
43,1.326993986,
44,1.272830967,
45,1.042638132,
46,1.110341907,
47,1.056178887,
48,1.178045682,
49,1.096801152,
50,1.164504927,
51,1.150964172,
52,1.029097377,
53,1.178045682,
54,1.042638132,
55,1.178045682,
56,1.123882662,
57,1.218667947,
58,1.042638132,
59,1.164504927,
60,1.205127192,
61,1.137423417,
62,1.232208702,
63,1.123882662,
64,1.002015867,
65,1.110341907,
66,1.042638132,
67,1.178045682,
68,1.313453231,
69,1.110341907,
70,1.042638132,
71,1.218667947,
72,1.123882662,
73,1.313453231,
74,1.218667947,
75,1.218667947,
76,1.042638132,
77,1.015556622,
78,1.245749457,
79,1.083260397,
80,1.232208702,
81,1.313453231,
82,1.015556622,
83,1.083260397,
84,0.9749343573,
85,1.137423417,
86,0.8801490726,
87,1.326993986,
88,1.421779271,
89,1.056178887,
90,1.110341907,
91,0.9884751123,
92,1.191586437,
93,1.002015867,
94,1.029097377,
95,1.164504927,
96,1.259290212,
97,1.326993986,
98,1.164504927,
99,1.137423417,
100,0.9749343573,
101,1.259290212,
102,0.9749343573,
103,1.056178887,
104,0.8936898276,
105,1.110341907,
106,1.110341907,
107,1.164504927,
108,1.178045682,
109,1.015556622,
110,1.029097377,
111,1.232208702,
112,1.354075496,
113,1.137423417,
114,1.110341907,
115,0.8666083176,
116,1.096801152,
117,1.083260397,
118,1.096801152,
119,1.178045682,
120,1.394697761,
121,1.354075496,
122,1.110341907,
123,1.381157006,
124,1.272830967,
125,1.150964172,
126,1.123882662,
127,1.123882662,
128,1.218667947,
129,1.083260397,
130,1.015556622,
131,1.259290212,
132,1.340534741,
133,1.218667947,
134,1.326993986,
135,1.096801152,
136,1.123882662,
137,1.218667947,
138,1.191586437,
139,1.259290212,
140,1.137423417,
141,1.205127192,
142,1.110341907,
143,1.245749457,
144,1.313453231,
145,0.9478528474,
146,1.218667947,
147,1.056178887,
148,1.015556622,
149,1.218667947,
150,0.9884751123,
151,1.083260397,
152,0.9613936024,
153,1.218667947,
154,1.056178887,
155,0.9478528474,
156,1.286371721,
157,1.191586437,
158,1.002015867,
159,0.9884751123,
160,1.178045682,
161,1.205127192,
162,1.272830967,
163,1.069719642,
164,1.178045682,
165,0.731200768,
166,1.069719642,
167,1.096801152,
168,1.286371721,
169,0.9884751123,
170,1.137423417,
171,1.205127192,
172,1.042638132,
173,1.557186821,
174,1.083260397,
175,1.178045682,
176,1.083260397,
177,1.069719642,
178,1.042638132,
179,1.191586437,
180,1.272830967,
181,1.191586437,
182,1.259290212,
183,1.150964172,
184,1.096801152,
185,0.9207713375,
186,1.083260397,
187,1.408238516,
188,1.178045682,
189,0.9478528474,
190,1.381157006,
191,1.313453231,
192,1.178045682,
193,1.218667947,
194,1.015556622,
195,1.083260397,
196,1.232208702,
197,1.096801152,
198,1.245749457,
199,1.110341907,
200,1.164504927,
201,1.150964172,
202,1.083260397,
203,1.367616251,
204,1.340534741,
205,1.150964172,
206,1.272830967,
207,1.178045682,
208,1.069719642,
209,1.002015867,
210,1.340534741,
211,0.9884751123,
212,1.042638132,
213,1.123882662,
214,1.232208702,
215,1.232208702,
216,1.164504927,
217,1.381157006,
218,1.150964172,
219,0.9072305825,
220,1.123882662,
221,1.232208702,
222,1.042638132,
223,0.8395268077,
224,1.232208702,
225,1.313453231,
226,1.232208702,
227,1.205127192,
228,1.326993986,
229,1.205127192,
230,1.326993986,
231,1.015556622,
232,1.029097377,
233,1.096801152,
234,1.299912476,
235,1.150964172,
236,1.191586437,
237,1.286371721,
238,1.137423417,
239,1.299912476,
240,0.8124452978,
241,1.015556622,
242,1.096801152,
243,1.218667947,
244,1.178045682,
245,1.191586437,
246,1.232208702,
247,1.150964172,
248,1.178045682,
249,1.083260397,
250,1.232208702,
251,1.178045682,
252,1.354075496,
253,1.205127192,
254,1.083260397,
255,1.056178887,
256,1.326993986,
257,1.272830967,
258,0.9613936024,
259,1.123882662,
260,1.232208702,
261,1.259290212,
262,1.069719642,
263,1.340534741,
264,1.137423417,
265,0.9478528474,
266,0.8801490726,
267,1.042638132,
268,0.9749343573,
269,1.150964172,
270,1.381157006,
271,1.029097377,
272,1.002015867,
273,1.137423417,
274,1.110341907,
275,1.015556622,
276,1.326993986,
277,1.313453231,
278,1.164504927,
279,1.137423417,
280,1.232208702,
281,1.326993986,
282,1.015556622,
283,0.8936898276,
284,1.083260397,
285,1.002015867,
286,1.056178887,
287,1.123882662,
288,1.178045682,
289,1.150964172,
290,1.110341907,
291,1.232208702,
292,1.137423417,
293,1.150964172,
294,1.042638132,
295,1.002015867,
296,1.083260397,
297,1.029097377,
298,1.056178887,
299,1.205127192,
300,0.9749343573,
301,1.178045682,
302,1.421779271,
303,1.340534741,
304,1.029097377,
305,1.029097377,
306,0.9478528474,
307,1.218667947,
308,1.083260397,
309,1.218667947,
310,1.150964172,
311,0.9613936024,
312,0.8259860527,
313,1.272830967,
314,1.083260397,
315,0.9613936024,
316,1.096801152,
317,1.326993986,
318,1.232208702,
319,1.191586437,
320,1.042638132,
321,1.069719642,
322,1.381157006,
323,1.340534741,
324,1.164504927,
325,0.8936898276,
326,1.259290212,
327,1.015556622,
328,1.381157006,
329,1.137423417,
330,1.313453231,
331,1.002015867,
332,1.137423417,
333,1.150964172,
334,0.9749343573,
335,1.164504927,
336,1.069719642,
337,1.096801152,
338,1.029097377,
339,1.218667947,
340,1.029097377,
341,1.096801152,
342,1.110341907,
343,1.083260397,
344,1.150964172,
345,1.150964172,
346,1.042638132,
347,1.191586437,
348,1.367616251,
349,1.150964172,
350,1.245749457,
351,1.137423417,
352,1.110341907,
353,1.218667947,
354,1.205127192,
355,1.123882662,
356,0.9749343573,
357,1.123882662,
358,1.178045682,
359,1.178045682,
360,0.9749343573,
361,1.137423417,
362,0.8395268077,
363,1.029097377,
364,1.150964172,
365,1.123882662,
366,1.110341907,
367,1.232208702,
368,1.326993986,
369,1.218667947,
370,1.137423417,
371,1.083260397,
372,0.9343120924,
373,1.245749457,
374,1.164504927,
375,1.083260397,
376,1.205127192,
377,1.150964172,
378,1.259290212,
379,1.137423417,
380,1.272830967,
381,0.9343120924,
382,1.042638132,
383,1.205127192,
384,1.123882662,
385,1.326993986,
386,1.029097377,
387,1.110341907,
388,1.069719642,
389,1.123882662,
390,0.9478528474,
391,1.191586437,
392,1.029097377,
393,1.205127192,
394,1.272830967,
395,1.205127192,
396,1.069719642,
397,1.002015867,
398,1.083260397,
399,1.123882662,
400,1.164504927,
401,1.083260397,
402,1.205127192,
403,1.205127192,
404,1.110341907,
405,1.029097377,
406,1.178045682,
407,0.9749343573,
408,1.191586437,
409,1.137423417,
410,1.218667947,
411,1.096801152,
412,1.299912476,
413,1.245749457,
414,1.137423417,
415,1.056178887,
416,1.381157006,
417,1.381157006,
418,1.150964172,
419,1.421779271,
420,1.083260397,
421,1.150964172,
422,1.096801152,
423,1.015556622,
424,1.286371721,
425,0.9613936024,
426,1.110341907,
427,1.191586437,
428,0.9613936024,
429,0.9613936024,
430,0.9884751123,
431,1.340534741,
432,1.164504927,
433,1.110341907,
434,1.042638132,
435,1.015556622,
436,1.272830967,
437,1.218667947,
438,1.191586437,
439,1.313453231,
440,1.164504927,
441,1.164504927,
442,1.083260397,
443,1.245749457,
444,1.056178887,
445,1.218667947,
446,1.110341907,
447,1.286371721,
448,1.299912476,
449,1.029097377,
450,1.313453231,
451,1.367616251,
452,1.096801152,
453,1.394697761,
454,1.340534741,
455,1.232208702,
456,0.9343120924,
457,1.002015867,
458,1.354075496,
459,1.056178887,
460,1.259290212,
461,0.9072305825,
462,1.313453231,
463,1.015556622,
464,0.9613936024,
465,1.069719642,
466,1.259290212,
467,1.042638132,
468,1.029097377,
469,1.069719642,
470,1.137423417,
471,1.056178887,
472,1.083260397,
473,1.164504927,
474,1.299912476,
475,1.096801152,
476,1.110341907,
477,1.029097377,
478,0.9478528474,
479,0.9749343573,
480,1.178045682,
481,1.123882662,
482,1.218667947,
483,1.029097377,
484,0.9343120924,
485,1.137423417,
486,1.232208702,
487,1.245749457,
488,1.191586437,
489,1.340534741,
490,1.069719642,
491,1.178045682,
492,1.150964172,
493,1.272830967,
494,1.083260397,
495,1.042638132,
496,1.015556622,
497,1.096801152,
498,1.354075496,
499,1.110341907,
500,1.015556622,
501,1.164504927,
502,1.259290212,
503,1.083260397,
504,1.191586437,
505,1.218667947,
506,1.096801152,
507,0.9884751123,
508,0.9478528474,
509,1.178045682,
510,1.042638132,
511,1.326993986,
512,1.259290212,
513,1.002015867,
514,1.435320026,
515,0.9749343573,
516,1.096801152,
517,1.367616251,
518,1.150964172,
519,0.9343120924,
520,0.9613936024,
521,1.245749457,
522,1.218667947,
523,1.164504927,
524,0.9749343573,
525,0.9884751123,
526,1.178045682,
527,1.096801152,
528,0.8801490726,
529,1.002015867,
530,1.056178887,
531,1.218667947,
532,1.218667947,
533,1.259290212,
534,1.110341907,
535,1.326993986,
536,1.218667947,
537,1.191586437,
538,1.164504927,
539,0.8801490726,
540,0.9343120924,
541,1.002015867,
542,1.029097377,
543,0.9749343573,
544,1.164504927,
545,1.313453231,
546,1.326993986,
547,1.286371721,
548,0.9749343573,
549,1.069719642,
550,1.164504927,
551,1.069719642,
552,0.9343120924,
553,1.110341907,
554,1.178045682,
555,1.286371721,
556,0.8801490726,
557,1.096801152,
558,1.516564556,
559,1.150964172,
560,1.164504927,
561,0.8801490726,
562,1.042638132,
563,1.110341907,
564,1.299912476,
565,1.191586437,
566,1.123882662,
567,1.381157006,
568,0.8666083176,
569,1.259290212,
570,1.313453231,
571,1.516564556,
572,1.150964172,
573,1.205127192,
574,1.069719642,
575,0.9343120924,
576,1.205127192,
577,1.394697761,
578,1.354075496,
579,1.232208702,
580,1.123882662,
581,1.326993986,
582,1.002015867,
583,1.326993986,
584,1.042638132,
585,1.313453231,
586,1.069719642,
587,1.272830967,
588,1.218667947,
589,1.015556622,
590,1.178045682,
591,0.9749343573,
592,1.245749457,
593,1.178045682,
594,1.096801152,
595,1.191586437,
596,1.191586437,
597,1.069719642,
598,1.205127192,
599,1.286371721,
600,1.164504927,
