Channel 1!!!_x,Channel 1!!!_y
0.,1.0894590753
1.,1.0904132823
2.,1.0870599261
3.,1.0938211646
4.,1.0964384182
5.,1.0992737763
6.,1.080435003
7.,1.0958658940
8.,1.0832158349
9.,1.0896499167
10.,1.0974744144
11.,1.0899225473
12.,1.0901951779
13.,1.0852333012
14.,1.0971199947
15.,1.0949662131
16.,1.0941483213
17.,1.0908494913
18.,1.0898134950
19.,1.0891319186
20.,1.0928669576
21.,1.0911221218
22.,1.0928942206
23.,1.0973380992
24.,1.0952661067
25.,1.0918582244
26.,1.0985921998
27.,1.094448215
28.,1.0811165794
29.,1.0965202074
30.,1.0889410772
31.,1.0896771798
32.,1.0834612024
33.,1.0859421408
34.,1.0804077399
35.,1.0927579053
36.,1.0906859129
37.,1.0945572672
38.,1.0881231854
39.,1.0937121124
40.,1.0905495976
41.,1.0929214837
42.,1.0873052937
43.,1.0964929443
44.,1.0833794133
45.,1.0895953906
46.,1.0859966669
47.,1.08932276
48.,1.0927851684
49.,1.0918854875
50.,1.0900315995
51.,1.0892409708
52.,1.0916946461
53.,1.0876324504
54.,1.0922944334
55.,1.0998190375
56.,1.0921035919
57.,1.0856967732
58.,1.0844426725
59.,1.0900043365
60.,1.0964111552
61.,1.0969018902
62.,1.0888320249
63.,1.0973380992
64.,1.0883412899
65.,1.0946663194
66.,1.0937939016
67.,1.0918036983
68.,1.0900043365
69.,1.0852605643
70.,1.0983740954
71.,1.0883412899
72.,1.0934394818
73.,1.0900043365
74.,1.0980196756
75.,1.0976652559
76.,1.0872235045
77.,1.0968473641
78.,1.0891319186
79.,1.0850969859
80.,1.0915310677
81.,1.0891046555
82.,1.0917219091
83.,1.0866782433
84.,1.0961385246
85.,1.0791263762
86.,1.0854241426
87.,1.0882595007
88.,1.0943118997
89.,1.1069892218
90.,1.0918582244
91.,1.0900043365
92.,1.0934394818
93.,1.0880413963
94.,1.0864056127
95.,1.0806803705
96.,1.0935757971
97.,1.0917219091
98.,1.0854786688
99.,1.0882595007
100.,1.0847698292
101.,1.0855059318
102.,1.0881504485
103.,1.0924307486
104.,1.0943936888
105.,1.0903314932
106.,1.0968473641
107.,1.0779540647
108.,1.0848243554
109.,1.0892409708
110.,1.0974471514
111.,1.0808712119
112.,1.0927033792
113.,1.0922126442
114.,1.0960022093
115.,1.0859694038
116.,1.0810075272
117.,1.0823706801
118.,1.0866782433
119.,1.0749278652
120.,1.0876597134
121.,1.0911493849
122.,1.093984743
123.,1.0931941143
124.,1.0892682339
125.,1.0829432043
126.,1.0890501294
127.,1.0877415026
128.,1.087905081
129.,1.0889410772
130.,1.0879868701
131.,1.0891864447
132.,1.0933849557
133.,1.0920218028
134.,1.0908222282
135.,1.0914220155
136.,1.0937939016
137.,1.0957841048
138.,1.0964929443
139.,1.0882595007
140.,1.0868418217
141.,1.0940392691
142.,1.0810893164
143.,1.0959749462
144.,1.0931123251
145.,1.0968473641
146.,1.0852878274
147.,1.0927579053
148.,1.0918036983
149.,1.0893500231
150.,1.0918309614
151.,1.0844971987
152.,1.0910403327
153.,1.092594327
154.,1.0885048682
155.,1.0874688720
156.,1.0889956033
157.,1.0938484277
158.,1.0856695102
159.,1.0815255253
160.,1.0851515121
161.,1.093057799
162.,1.0932213773
163.,1.0852333012
164.,1.0822616279
165.,1.0871962414
166.,1.0903860193
167.,1.0951297914
168.,1.0912039110
169.,1.0842790942
170.,1.0876869765
171.,1.0915310677
172.,1.0835975177
173.,1.0926488531
174.,1.0856149841
175.,1.0840882528
176.,1.0903042301
177.,1.0814164731
178.,1.0892954969
179.,1.0918036983
180.,1.0979378864
181.,1.088368553
182.,1.0808166858
183.,1.089786232
184.,1.0846880401
185.,1.0850697229
186.,1.0891319186
187.,1.0822888909
188.,1.0868963478
189.,1.0849334076
190.,1.0913947524
191.,1.0856149841
192.,1.0802986877
193.,1.0811165794
194.,1.0897589689
195.,1.0916673830
196.,1.0884776052
197.,1.0866509803
198.,1.0874961351
199.,1.0947481086
200.,1.0938756907
201.,1.0908767543
202.,1.0845517248
203.,1.0882049746
204.,1.084170042
205.,1.0870599261
206.,1.0887229727
207.,1.0916946461
208.,1.0764000703
209.,1.0864874019
210.,1.0892682339
211.,1.0820162604
212.,1.0859694038
213.,1.0807621597
214.,1.0942301105
215.,1.0871417153
216.,1.0845244617
217.,1.0898952842
218.,1.0730194511
219.,1.0870599261
220.,1.0890228664
221.,1.0890501294
222.,1.0861602452
223.,1.0870599261
224.,1.0867327694
225.,1.081361947
226.,1.0975016775
227.,1.0903042301
228.,1.0921308550
229.,1.0856149841
230.,1.0862420344
231.,1.0956477895
232.,1.0778450124
233.,1.0952933698
234.,1.0891591816
235.,1.0921035919
236.,1.0815527884
237.,1.089786232
238.,1.0889683402
239.,1.0874143459
240.,1.0915310677
241.,1.0847153031
242.,1.0708111434
243.,1.0836793069
244.,1.0811165794
245.,1.1006369292
246.,1.0770816468
247.,1.0875779243
248.,1.08370657
249.,1.0857240363
250.,1.0907949651
251.,1.0861329822
252.,1.0818526820
253.,1.0873052937
254.,1.0891864447
255.,1.0931941143
256.,1.0770271207
257.,1.0726105052
258.,1.0880413963
259.,1.0882049746
260.,1.0887502358
261.,1.0910948588
262.,1.0819889973
263.,1.0799987940
264.,1.0954296851
265.,1.094448215
266.,1.0930032729
267.,1.084170042
268.,1.0780631169
269.,1.0873870828
270.,1.080435003
271.,1.0975289406
272.,1.0951570545
273.,1.0893772861
274.,1.0895681275
275.,1.0854241426
276.,1.0721742963
277.,1.0957568418
278.,1.0904405454
279.,1.0838156222
280.,1.0852060382
281.,1.0995464069
282.,1.0907949651
283.,1.0892682339
284.,1.0988103043
285.,1.0903587562
286.,1.0858876146
287.,1.0909585435
288.,1.0923489595
289.,1.0915855938
290.,1.08370657
291.,1.0911221218
292.,1.095375159
293.,1.0923216964
294.,1.0916673830
295.,1.0912039110
296.,1.0879596071
297.,1.0849879337
298.,1.0850969859
299.,1.0846062509
300.,1.0902769670
301.,1.0904950715
302.,1.0802441616
303.,1.0916673830
304.,1.0948026347
305.,1.0831885719
306.,1.0977470450
307.,1.0942846366
308.,1.091176648
309.,1.0856149841
310.,1.0909858066
311.,1.0910403327
312.,1.0852060382
313.,1.0794535329
314.,1.1004188247
315.,1.0921308550
316.,1.0823979432
317.,1.0895953906
318.,1.0810620533
319.,1.0932486404
320.,1.0842245681
321.,1.0906041237
322.,1.0998190375
323.,1.0823706801
324.,1.0831613088
325.,1.0900588626
326.,1.0921581181
327.,1.0878778179
328.,1.0979651495
329.,1.0946390564
330.,1.0854514057
331.,1.0769453315
332.,1.0792899545
333.,1.0808439488
334.,1.0874143459
335.,1.0852333012
336.,1.0937121124
337.,1.0949934761
338.,1.0849061445
339.,1.0918309614
340.,1.0864328758
341.,1.1000098789
342.,1.0788810086
343.,1.0883958160
344.,1.0914492785
345.,1.0916673830
346.,1.0829704674
347.,1.0945845303
348.,1.0843608834
349.,1.0806803705
350.,1.0888320249
351.,1.0928396945
352.,1.0843336203
353.,1.0734829231
354.,1.0828886782
355.,1.0856967732
356.,1.0945300041
357.,1.0964656813
358.,1.0953206328
359.,1.0913674894
360.,1.0901951779
361.,1.0881504485
362.,1.080435003
363.,1.0906859129
364.,1.0860239299
365.,1.0809530011
366.,1.0937939016
367.,1.0859694038
368.,1.0896771798
369.,1.0941210583
370.,1.0870054000
371.,1.0895953906
372.,1.0898407581
373.,1.0840609897
374.,1.0821525756
375.,1.0876869765
376.,1.0898680212
377.,1.0945572672
378.,1.0969018902
379.,1.0850151968
380.,1.0919400136
381.,1.0840064636
382.,1.0888592880
383.,1.0857785624
384.,1.0855604579
385.,1.0926215901
386.,1.0856695102
387.,1.096792838
388.,1.0824524693
389.,1.0885593944
390.,1.0938756907
391.,1.0900861256
392.,1.0808439488
393.,1.0943936888
394.,1.0915855938
395.,1.0841427789
396.,1.0901679148
397.,1.0856967732
398.,1.0840064636
399.,1.0864328758
400.,1.098183254
401.,1.0921308550
402.,1.0817981559
403.,1.0886139205
404.,1.0965747335
405.,1.11080605
406.,1.0802714246
407.,1.086514665
408.,1.0764273334
409.,1.0848243554
410.,1.089786232
411.,1.0867600325
412.,1.0854786688
413.,1.0873870828
414.,1.0925670639
415.,1.0871417153
416.,1.0799170049
417.,1.0925398009
418.,1.09164012
419.,1.0709201956
420.,1.0953478959
421.,1.0879323440
422.,1.0919127505
423.,1.0895953906
424.,1.0994373546
425.,1.0853423535
426.,1.0950752653
427.,1.0909040174
428.,1.0858330885
429.,1.0846062509
430.,1.0801896354
431.,1.0907949651
432.,1.0851787751
433.,1.0949934761
434.,1.0899498103
435.,1.0851242490
436.,1.0844426725
437.,1.0962475768
438.,1.0867872956
439.,1.0865964542
440.,1.0830795196
441.,1.0939029538
442.,1.0848516184
443.,1.0945300041
444.,1.0926215901
445.,1.0939574799
446.,1.0836520439
447.,1.0861329822
448.,1.1026543955
449.,1.0836520439
450.,1.0816073145
451.,1.0897044428
452.,1.0861875083
453.,1.0864874019
454.,1.088368553
