fit_power_watt,frequency_Hz
1.1774370682815848e-09,0.0
1.177439256044099e-09,400200.10005002504
1.1774414532441786e-09,800400.2001000501
1.1774436599361433e-09,1200600.300150075
1.1774458761747322e-09,1600800.4002001001
1.1774481020150698e-09,2001000.5002501253
1.1774503375126677e-09,2401200.60030015
1.1774525827234465e-09,2801400.700350175
1.177454837703742e-09,3201600.8004002003
1.1774571025102856e-09,3601800.9004502255
1.1774593772002237e-09,4002001.0005002506
1.1774616618311222e-09,4402201.100550275
1.1774639564609667e-09,4802401.2006003
1.1774662611481624e-09,5202601.300650326
1.1774685759515344e-09,5602801.40070035
1.1774709009303567e-09,6003001.500750376
1.1774732361443224e-09,6403201.600800401
1.1774755816535734e-09,6803401.700850425
1.1774779375186863e-09,7203601.800900451
1.1774803038006811e-09,7603801.900950476
1.177482680561041e-09,8004002.001000501
1.1774850678616879e-09,8404202.101050526
1.1774874657650077e-09,8804402.20110055
1.1774898743338535e-09,9204602.301150575
1.1774922936315418e-09,9604802.4012006
1.1774947237218524e-09,10005002.501250627
1.1774971646690471e-09,10405202.601300651
1.177499616537866e-09,10805402.701350676
1.1775020793935264e-09,11205602.8014007
1.1775045533017379e-09,11605802.901450725
1.1775070383287114e-09,12006003.001500752
1.1775095345411266e-09,12406203.101550777
1.1775120420061886e-09,12806403.201600801
1.1775145607915995e-09,13206603.301650826
1.1775170909655774e-09,13606803.40170085
1.177519632596838e-09,14007003.501750877
1.1775221857546276e-09,14407203.601800902
1.1775247505087274e-09,14807403.701850927
1.177527326929421e-09,15207603.801900951
1.177529915087547e-09,15607803.901950976
1.1775325150544695e-09,16008004.002001002
1.177535126902098e-09,16408204.102051027
1.1775377507029018e-09,16808404.20210105
1.1775403865298809e-09,17208604.302151076
1.177543034456619e-09,17608804.4022011
1.177545694557236e-09,18009004.502251126
1.1775483669064445e-09,18409204.60230115
1.1775510515795172e-09,18809404.702351175
1.1775537486523012e-09,19209604.8024012
1.1775564582012515e-09,19609804.90245123
1.1775591803033824e-09,20010005.002501253
1.1775619150363171e-09,20410205.102551278
1.177564662478291e-09,20810405.202601302
1.1775674227081231e-09,21210605.302651327
1.177570195805256e-09,21610805.40270135
1.1775729818497586e-09,22011005.502751376
1.1775757809223082e-09,22411205.6028014
1.1775785931042144e-09,22811405.702851426
1.1775814184774236e-09,23211605.80290145
1.1775842571245243e-09,23611805.90295148
1.1775871091287561e-09,24012006.003001504
1.1775899745740006e-09,24412206.10305153
1.1775928535448155e-09,24812406.203101553
1.1775957461263993e-09,25212606.303151578
1.1775986524046466e-09,25612806.403201602
1.1776015724661123e-09,26013006.503251627
1.1776045063980517e-09,26413206.60330165
1.1776074542883955e-09,26813406.703351676
1.1776104162257836e-09,27213606.8034017
1.1776133922995561e-09,27613806.903451726
1.1776163825997624e-09,28014007.003501754
1.1776193872171757e-09,28414207.10355178
1.1776224062432791e-09,28814407.203601804
1.177625439770313e-09,29214607.30365183
1.1776284878912224e-09,29614807.403701853
1.1776315506997301e-09,30015007.503751878
1.1776346282902966e-09,30415207.603801902
1.1776377207581355e-09,30815407.703851927
1.1776408281992523e-09,31215607.80390195
1.1776439507104e-09,31615807.903951976
1.1776470883891336e-09,32016008.004002005
1.1776502413337847e-09,32416208.10405203
1.1776534096434862e-09,32816408.204102054
1.1776565934181967e-09,33216608.30415208
1.1776597927586465e-09,33616808.4042021
1.1776630077664258e-09,34017008.50425213
1.1776662385439402e-09,34417208.60430215
1.17766948519443e-09,34817408.70435218
1.177672747821981e-09,35217608.8044022
1.1776760265315381e-09,35617808.90445223
1.1776793214289048e-09,36018009.00450225
1.1776826326207635e-09,36418209.10455228
1.1776859602146561e-09,36818409.2046023
1.1776893043190463e-09,37218609.304652326
1.1776926650432618e-09,37618809.40470235
1.1776960424975572e-09,38019009.504752375
1.1776994367930807e-09,38419209.6048024
1.1777028480419403e-09,38819409.70485243
