fit_power_dBm,frequency_Hz
-59.29322205257674,0.0
-59.293221580763046,400200.10005002504
-59.29322110736155,800400.2001000501
-59.29322063236513,1200600.300150075
-59.293220155766605,1600800.4002001001
-59.29321967755876,2001000.5002501253
-59.29321919773434,2401200.60030015
-59.29321871628606,2801400.700350175
-59.29321823320659,3201600.8004002003
-59.29321774848853,3601800.9004502255
-59.293217262124486,4002001.0005002506
-59.29321677410698,4402201.100550275
-59.293216284428524,4802401.2006003
-59.293215793081565,5202601.300650326
-59.29321530005851,5602801.40070035
-59.29321480535174,6003001.500750376
-59.29321430895357,6403201.600800401
-59.29321381085629,6803401.700850425
-59.29321331105213,7203601.800900451
-59.29321280953328,7603801.900950476
-59.29321230629189,8004002.001000501
-59.293211801320076,8404202.101050526
-59.29321129460988,8804402.20110055
-59.293210786153324,9204602.301150575
-59.29321027594237,9604802.4012006
-59.29320976396894,10005002.501250627
-59.293209250224905,10405202.601300651
-59.2932087347021,10805402.701350676
-59.29320821739229,11205602.8014007
-59.29320769828721,11605802.901450725
-59.29320717737856,12006003.001500752
-59.293206654657965,12406203.101550777
-59.29320613011701,12806403.201600801
-59.29320560374723,13206603.301650826
-59.29320507554013,13606803.40170085
-59.293204545487136,14007003.501750877
-59.29320401357964,14407203.601800902
-59.29320347980898,14807403.701850927
-59.29320294416645,15207603.801900951
-59.29320240664329,15607803.901950976
-59.29320186723068,16008004.002001002
-59.29320132591975,16408204.102051027
-59.293200782701604,16808404.20210105
-59.293200237567255,17208604.302151076
-59.293199690507684,17608804.4022011
-59.29319914151381,18009004.502251126
-59.293198590576516,18409204.60230115
-59.293198037686615,18809404.702351175
-59.29319748283486,19209604.8024012
-59.29319692601197,19609804.90245123
-59.2931963672086,20010005.002501253
-59.29319580641534,20410205.102551278
-59.29319524362274,20810405.202601302
-59.29319467882127,21210605.302651327
-59.29319411200137,21610805.40270135
-59.29319354315342,22011005.502751376
-59.29319297226772,22411205.6028014
-59.29319239933453,22811405.702851426
-59.29319182434405,23211605.80290145
-59.293191247286416,23611805.90295148
-59.29319066815171,24012006.003001504
-59.293190086929954,24412206.10305153
-59.29318950361111,24812406.203101553
-59.29318891818507,25212606.303151578
-59.29318833064169,25612806.403201602
-59.29318774097074,26013006.503251627
-59.29318714916192,26413206.60330165
-59.293186555204905,26813406.703351676
-59.29318595908928,27213606.8034017
-59.29318536080457,27613806.903451726
-59.293184760340246,28014007.003501754
-59.2931841576857,28414207.10355178
-59.29318355283028,28814407.203601804
-59.29318294576324,29214607.30365183
-59.293182336473805,29614807.403701853
-59.293181724951104,30015007.503751878
-59.29318111118422,30415207.603801902
-59.29318049516214,30815407.703851927
-59.29317987687382,31215607.80390195
-59.29317925630813,31615807.903951976
-59.29317863345386,32016008.004002005
-59.29317800829976,32416208.10405203
-59.293177380834486,32816408.204102054
-59.29317675104664,33216608.30415208
-59.293176118924734,33616808.4042021
-59.29317548445723,34017008.50425213
-59.29317484763251,34417208.60430215
-59.29317420843888,34817408.70435218
-59.293173566864574,35217608.8044022
-59.29317292289777,35617808.90445223
-59.29317227652654,36018009.00450225
-59.293171627738914,36418209.10455228
-59.29317097652283,36818409.2046023
-59.29317032286615,37218609.304652326
-59.293169666756675,37618809.40470235
-59.293169008182105,38019009.504752375
-59.293168347130084,38419209.6048024
-59.29316768358817,38819409.70485243
-59.29316701754385,39219609.80490246
-59.29316634898452,39619809.90495248
-59.293165677897505,40020010.005002506
-59.293165004270044,40420210.10505253
-59.293164328089304,40820410.205102555
-59.29316364934237,41220610.30515258
-59.29316296801623,41620810.405202605
-59.29316228409781,42021010.50525263
-59.29316159757394,42421210.605302654
-59.293160908431375,42821410.70535268
-59.29316021665678,43221610.8054027
-59.29315952223673,43621810.90545273
-59.293158825157725,44022011.00550275
-59.29315812540618,44422211.10555278
-59.2931574229684,44822411.2056028
-59.29315671783064,45222611.30565283
-59.29315600997903,45622811.40570285
-59.293155299399636,46023011.50575288
-59.29315458607842,46423211.6058029
-59.29315387000127,46823411.705852926
-59.293153151153966,47223611.80590296
-59.2931524295222,47623811.90595298
-59.293151705091574,48024012.00600301
-59.2931509778476,48424212.10605303
-59.29315024777569,48824412.20610306
-59.29314951486118,49224612.30615308
-59.293148779089265,49624812.406203106
-59.293148040445104,50025012.50625313
-59.29314729891371,50425212.606303155
-59.29314655448002,50825412.70635318
-59.29314580712888,51225612.806403205
-59.29314505684501,51625812.90645323
-59.29314430361307,52026013.006503254
-59.29314354741758,52426213.10655328
-59.29314278824298,52826413.2066033
