fit_power_watt,frequency_Hz
1.1767326257443097e-09,0.0
1.1767327535835077e-09,400200.10005002504
1.1767328818529422e-09,800400.2001000501
1.1767330105545434e-09,1200600.300150075
1.1767331396902464e-09,1600800.4002001001
1.1767332692620151e-09,2001000.5002501253
1.176733399271818e-09,2401200.60030015
1.176733529721624e-09,2801400.700350175
1.1767336606134161e-09,3201600.8004002003
1.1767337919492067e-09,3601800.9004502255
1.1767339237309976e-09,4002001.0005002506
1.1767340559608107e-09,4402201.100550275
1.1767341886406775e-09,4802401.2006003
1.1767343217726482e-09,5202601.300650326
1.1767344553587784e-09,5602801.40070035
1.1767345894011282e-09,6003001.500750376
1.1767347239017864e-09,6403201.600800401
1.1767348588628375e-09,6803401.700850425
1.1767349942863898e-09,7203601.800900451
1.1767351301745562e-09,7603801.900950476
1.1767352665294693e-09,8004002.001000501
1.1767354033532612e-09,8404202.101050526
1.1767355406480886e-09,8804402.20110055
1.1767356784161125e-09,9204602.301150575
1.1767358166595136e-09,9604802.4012006
1.1767359553804819e-09,10005002.501250627
1.1767360945812174e-09,10405202.601300651
1.1767362342639386e-09,10805402.701350676
1.176736374430865e-09,11205602.8014007
1.1767365150842443e-09,11605802.901450725
1.1767366562263245e-09,12006003.001500752
1.1767367978593726e-09,12406203.101550777
1.1767369399856751e-09,12806403.201600801
1.1767370826075184e-09,13206603.301650826
1.176737225727208e-09,13606803.40170085
1.1767373693470738e-09,14007003.501750877
1.1767375134694311e-09,14407203.601800902
1.1767376580966433e-09,14807403.701850927
1.176737803231064e-09,15207603.801900951
1.1767379488750666e-09,15607803.901950976
1.1767380950310382e-09,16008004.002001002
1.1767382417013859e-09,16408204.102051027
1.176738388888521e-09,16808404.20210105
1.1767385365948793e-09,17208604.302151076
1.1767386848228963e-09,17608804.4022011
1.1767388335750462e-09,18009004.502251126
1.1767389828537936e-09,18409204.60230115
1.176739132661627e-09,18809404.702351175
1.1767392830010445e-09,19209604.8024012
1.1767394338745733e-09,19609804.90245123
1.1767395852847453e-09,20010005.002501253
1.1767397372340973e-09,20410205.102551278
1.1767398897252043e-09,20810405.202601302
1.1767400427606419e-09,21210605.302651327
1.176740196343004e-09,21610805.40270135
1.1767403504748905e-09,22011005.502751376
1.176740505158939e-09,22411205.6028014
1.176740660397787e-09,22811405.702851426
1.1767408161940824e-09,23211605.80290145
1.1767409725505062e-09,23611805.90295148
1.1767411294697393e-09,24012006.003001504
1.1767412869544918e-09,24412206.10305153
1.1767414450074836e-09,24812406.203101553
1.1767416036314485e-09,25212606.303151578
1.1767417628291399e-09,25612806.403201602
1.1767419226033304e-09,26013006.503251627
1.1767420829568024e-09,26413206.60330165
1.1767422438923669e-09,26813406.703351676
1.1767424054128348e-09,27213606.8034017
1.176742567521051e-09,27613806.903451726
1.1767427302198702e-09,28014007.003501754
1.176742893512156e-09,28414207.10355178
1.1767430574008114e-09,28814407.203601804
1.1767432218887289e-09,29214607.30365183
1.1767433869788453e-09,29614807.403701853
1.1767435526741011e-09,30015007.503751878
1.1767437189774474e-09,30415207.603801902
1.1767438858918782e-09,30815407.703851927
1.1767440534203873e-09,31215607.80390195
1.1767442215659836e-09,31615807.903951976
1.176744390331704e-09,32016008.004002005
1.1767445597206004e-09,32416208.10405203
1.176744729735744e-09,32816408.204102054
1.1767449003802296e-09,33216608.30415208
1.176745071657167e-09,33616808.4042021
1.1767452435696805e-09,34017008.50425213
1.1767454161209226e-09,34417208.60430215
