fit_power_dBm,frequency_Hz
-59.204076221616134,0.0
-59.20373214875819,400200.10005002504
-59.20338608529254,800400.2001000501
-59.20303801585013,1200600.300150075
-59.20268792491354,1600800.4002001001
-59.202335796815255,2001000.5002501253
-59.2019816157359,2401200.60030015
-59.20162536570254,2801400.700350175
-59.20126703058681,3201600.8004002003
-59.20090659410317,3601800.9004502255
-59.20054403980701,4002001.0005002506
-59.200179351092835,4402201.100550275
-59.199812511192334,4802401.2006003
-59.19944350317251,5202601.300650326
-59.19907230993369,5602801.40070035
-59.1986989142076,6003001.500750376
-59.19832329855532,6403201.600800401
-59.197945445365335,6803401.700850425
-59.19756533685141,7203601.800900451
-59.19718295505056,7603801.900950476
-59.19679828182092,8004002.001000501
-59.19641129883961,8404202.101050526
-59.19602198760057,8804402.20110055
-59.19563032941238,9204602.301150575
-59.195236305396016,9604802.4012006
-59.19483989648256,10005002.501250627
-59.19444108341099,10405202.601300651
-59.19403984672578,10805402.701350676
-59.19363616677457,11205602.8014007
-59.19323002370579,11605802.901450725
-59.19282139746623,12006003.001500752
-59.192410267798586,12406203.101550777
-59.191996614238946,12806403.201600801
-59.19158041611429,13206603.301650826
-59.191161652539925,13606803.40170085
-59.190740302416856,14007003.501750877
-59.19031634442918,14407203.601800902
-59.189889757041406,14807403.701850927
-59.18946051849572,15207603.801900951
-59.189028606809266,15607803.901950976
-59.18859399977133,16008004.002001002
-59.188156674940494,16408204.102051027
-59.1877166096418,16808404.20210105
-59.187273780963814,17208604.302151076
-59.18682816575567,17608804.4022011
-59.186379740624055,18009004.502251126
-59.18592848193018,18409204.60230115
-59.18547436578672,18809404.702351175
-59.18501736805459,19209604.8024012
-59.18455746433986,19609804.90245123
-59.18409462999049,20010005.002501253
-59.18362884009302,20410205.102551278
-59.183160069469324,20810405.202601302
-59.18268829267315,21210605.302651327
-59.18221348398675,21610805.40270135
-59.18173561741742,22011005.502751376
-59.1812546666939,22411205.6028014
-59.18077060526289,22811405.702851426
-59.18028340628534,23211605.80290145
-59.17979304263281,23611805.90295148
-59.17929948688371,24012006.003001504
-59.17880271131948,24412206.10305153
-59.17830268792079,24812406.203101553
-59.17779938836358,25212606.303151578
-59.17729278401509,25612806.403201602
-59.17678284592984,26013006.503251627
-59.17626954484554,26413206.60330165
-59.175752851178906,26813406.703351676
-59.17523273502146,27213606.8034017
-59.17470916613524,27613806.903451726
-59.174182113948426,28014007.003501754
-59.173651547550975,28414207.10355178
-59.17311743569006,28814407.203601804
-59.17257974676558,29214607.30365183
-59.17203844882548,29614807.403701853
-59.1714935095611,30015007.503751878
-59.170944896302366,30415207.603801902
-59.17039257601295,30815407.703851927
-59.16983651528537,31215607.80390195
-59.169276680335955,31615807.903951976
-59.168713036999804,32016008.004002005
-59.1681455507256,32416208.10405203
-59.16757418657038,32816408.204102054
-59.16699890919422,33216608.30415208
-59.16641968285482,33616808.4042021
-59.165836471402024,34017008.50425213
-59.16524923827222,34417208.60430215
-59.16465794648268,34817408.70435218
-59.16406255862583,35217608.8044022
-59.16346303686335,35617808.90445223
-59.16285934292027,36018009.00450225
-59.162251438078904,36418209.10455228
-59.161639283172725,36818409.2046023
-59.16102283858013,37218609.304652326
-59.1604020642181,37618809.40470235
-59.15977691953574,38019009.504752375
-59.15914736350777,38419209.6048024
-59.15851335462786,38819409.70485243
-59.15787485090184,39219609.80490246
-59.15723180984088,39619809.90495248
-59.15658418845447,40020010.005002506
-59.15593194324332,40420210.10505253
-59.15527503019217,40820410.205102555
-59.15461340476244,41220610.30515258
-59.15394702188478,41620810.405202605
-59.15327583595147,42021010.50525263
-59.15259980080874,42421210.605302654
-59.151918869748926,42821410.70535268
-59.1512329955025,43221610.8054027
-59.15054213022998,43621810.90545273
-59.14984622551369,44022011.00550275
-59.1491452323494,44422211.10555278
-59.14843910113776,44822411.2056028
-59.14772778167574,45222611.30565283
-59.14701122314773,45622811.40570285
-59.14628937411662,46023011.50575288
-59.145562182514716,46423211.6058029
-59.144829595634455,46823411.705852926
-59.14409156011899,47223611.80590296
-59.14334802195258,47623811.90595298
-59.14259892645092,48024012.00600301
-59.14184421825114,48424212.10605303
-59.14108384130175,48824412.20610306
-59.14031773885243,49224612.30615308
-59.13954585344351,49624812.406203106
-59.13876812689541,50025012.50625313
-59.137984500297804,50425212.606303155
-59.13719491399865,50825412.70635318
-59.13639930759299,51225612.806403205
-59.13559761991157,51625812.90645323
-59.13478978900927,52026013.006503254
-59.13397575215328,52426213.10655328
-59.133155445811184,52826413.2066033
-59.13232880563864,53226613.30665333
-59.131495766467076,53626813.40670335
-59.13065626229095,54027013.50675338
-59.129810226254925,54427213.6068034
-59.12895759064076,54827413.70685343
-59.128098286853984,55227613.80690345
-59.1272322454103,55627813.906953484
-59.12635939592175,56028014.00700351
-59.12547966708272,56428214.10705353
-59.12459298665551,56828414.20710356
-59.12369928145583,57228614.30715358
-59.122798477337895,57628814.40720361
-59.12189049917936,58029014.50725363
-59.12097527086586,58429214.60730366
-59.12005271527537,58829414.70735368
-59.119122754262214,59229614.807403706
-59.11818530864082,59629814.90745373
-59.11724029816913,60030015.007503755
-59.116287641531756,60430215.10755378
-59.11532725632277,60830415.207603805
-59.11435905902823,61230615.30765383
-59.11338296500831,61630815.407703854
-59.11239888847916,62031015.50775388
-59.11140674249441,62431215.6078039
-59.110406438926276,62831415.70785393
-59.10939788844638,63231615.80790395
-59.10838100050619,63631815.90795398
-59.107355683317046,64032016.00800401
-59.10632184382983,64432216.108054034
-59.10527938771431,64832416.20810406
-59.10422821933797,65232616.308154084
-59.10316824174454,65632816.40820411
-59.10209935663207,66033016.50825413
-59.10102146433055,66433216.60830416
-59.099934463779185,66833416.70835418
-59.09883825250315,67233616.8084042
-59.09773272658991,67633816.90845422
-59.09661778066513,68034017.00850426
-59.095493307868026,68434217.10855429
-59.09435919982634,68834417.2086043
-59.09321534663073,69234617.30865434
-59.0920616368087,69634817.40870436
-59.09089795729803,70035017.50875439
-59.089724193419656,70435217.6088044
-59.08854022885,70835417.70885444
-59.087345945592794,71235617.80890445
-59.08614122395031,71635817.90895449
-59.08492594249402,72036018.0090045
-59.08369997803466,72436218.10905454
-59.08246320559175,72836418.20910455
-59.08121549836239,73236618.30915459
-59.07995672768954,73636818.4092046
-59.078686763029594,74037018.50925463
-59.07740547191929,74437218.60930465
-59.07611271994201,74837418.70935468
-59.07480837069329,75237618.8094047
-59.07349228574574,75637818.90945473
-59.072164324613155,76038019.00950475
-59.07082434471393,76438219.10955478
-59.069472201333674,76838419.2096048
-59.068107747587156,77238619.30965483
-59.06673083437933,77638819.40970486
-59.06534131036562,78039019.50975488
-59.06393902191138,78439219.60980491
-59.0625238130505,78839419.70985493
-59.061095525443086,79239619.80990496
-59.059653998332365,79639819.90995498
-59.058199068500564,80040020.01000501
-59.05673057022393,80440220.11005503
-59.055248335226736,80840420.21010506
-59.0537521926344,81240620.31015508
-59.05224196892549,81640820.41020511
-59.050717487882814,82041020.51025513
-59.04917857054334,82441220.61030516
-59.04762503514715,82841420.71035518
-59.04605669708522,83241620.81040521
-59.04447336884613,83641820.91045523
-59.04287485996153,84042021.01050526
-59.041260976950504,84442221.11055528
-59.03963152326269,84842421.21060531
-59.03798629922013,85242621.31065533
-59.03632510195787,85642821.41070536
-59.03464772536325,86043021.51075539
-59.03295396001385,86443221.6108054
-59.031243593114056,86843421.71085544
-59.029516408430204,87243621.81090546
-59.02777218622435,87643821.91095549
-59.02601070318643,88044022.0110055
-59.02423173236503,88444222.11105554
-59.02243504309654,88844422.21110556
-59.020620400932685,89244622.31115559
-59.01878756756649,89644822.4112056
-59.0169363007565,90045022.51125564
-59.015066354249285,90445222.61130565
-59.01317747770026,90845422.71135569
-59.01126941659254,91245622.8114057
-59.009341912154106,91645822.91145574
-59.0073947012729,92046023.01150575
-59.0054275164101,92446223.11155578
-59.00344008551131,92846423.2116058
-59.001432131915664,93246623.31165583
-58.999403374262926,93646823.41170585
-58.997353526398285,94047023.51175588
-58.99528229727501,94447223.61180592
-58.99318939085478,94847423.71185593
-58.99107450600566,95247623.81190597
-58.988937336397704,95647823.91195598
-58.98677757039603,96048024.01200601
-58.98459489095138,96448224.11205603
-58.98238897548807,96848424.21210606
-58.980159495789245,97248624.31215608
-58.97790611787938,97648824.41220611
-58.97562850190398,98049024.51225613
-58.9733263020063,98449224.61230616
-58.970999166201196,98849424.71235618
-58.96864673624578,99249624.81240621
-58.966268647507,99649824.91245623
-58.96386452882599,100050025.01250626
-58.961434002379015,100450225.11255628
-58.958976683535084,100850425.21260631
-58.95649218070999,101250625.31265633
-58.95398009521676,101650825.41270636
-58.95144002111234,102051025.51275638
-58.94887154504059,102451225.61280641
-58.94627424607115,102851425.71285644
-58.94364769553448,103251625.81290646
-58.94099145685259,103651825.91295649
-58.93830508536557,104052026.01300651
-58.935588128153725,104452226.11305654
-58.93284012385518,104852426.21310656
-58.93006060247882,105252626.31315659
-58.92724908521251,105652826.4132066
-58.92440508422632,106053026.51325664
-58.92152810247076,106453226.61330666
-58.91861763346974,106853426.71335669
-58.91567316110822,107253626.8134067
-58.91269415941435,107653826.91345674
-58.90968009233589,108054027.01350676
-58.90663041351082,108454227.11355679
-58.90354456603193,108854427.2136068
-58.9004219822052,109254627.31365684
-58.89726208330186,109654827.41370685
-58.89406427930378,110055027.51375689
-58.890827968642206,110455227.6138069
-58.88755253792951,110855427.71385694
-58.88423736168368,111255627.81390697
-58.88088180204557,111655827.91395698
-58.8774852084884,112056028.01400702
-58.87404691751952,112456228.11405703
-58.87056625237405,112856428.21410707
-58.86704252270016,113256628.31415708
-58.86347502423588,113656828.41420712
-58.85986303847699,114057028.51425713
-58.85620583233575,114457228.61430717
-58.85250265779042,114857428.71435718
-58.84875275152486,115257628.81440721
-58.84495533455839,115657828.91445723
-58.84110961186515,116058029.01450726
-58.83721477198298,116458229.11455728
-58.83326998661132,116858429.21460731
-58.82927441019782,117258629.31465733
-58.8252271795133,117658829.41470736
-58.82112741321472,118059029.51475738
-58.81697421139576,118459229.61480741
-58.81276665512464,118859429.71485743
-58.808503805968684,119259629.81490746
-58.804184705505364,119659829.9149575
-58.79980837481927,120060030.01500751
-58.795373813984554,120460230.11505754
-58.79088000153248,120860430.21510756
-58.786325893903474,121260630.31515759
-58.7817104248833,121660830.41520761
-58.777032505022696,122061030.51525764
-58.772291021040104,122461230.61530766
-58.76748483520681,122861430.71535769
-58.762612784713944,123261630.81540771
-58.75767368102085,123661830.91545774
-58.752666309183994,124062031.01550776
-58.747589427166076,124462231.11555779
-58.742441765124354,124862431.2156078
-58.73722202467775,125262631.31565784
-58.73192887815193,125662831.41570786
-58.7265609678016,126063031.51575789
-58.721116905009325,126463231.6158079
-58.71559526946001,126863431.71585794
-58.70999460829031,127263631.81590796
-58.70431343521204,127663831.91595799
-58.69855022960878,128064032.01600802
-58.69270343560468,128464232.11605804
-58.68677146110465,128864432.21610807
-58.68075267680486,129264632.31615809
-58.67464541517249,129664832.41620812
-58.66844796939394,130065032.51625814
-58.662158592289984,130465232.61630817
-58.65577549519724,130865432.71635818
-58.649296846814366,131265632.81640822
-58.64272077201203,131665832.91645823
-58.636045350605244,132066033.01650827
-58.62926861608696,132466233.11655828
-58.622388554321304,132866433.21660832
-58.615403102195295,133266633.31665833
-58.60831014622749,133666833.41670837
-58.601107521132036,134067033.51675838
-58.593793008336654,134467233.6168084
-58.58636433445286,134867433.71685845
-58.578819169696786,135267633.81690845
-58.57115512625886,135667833.91695848
-58.563369756620574,136068034.0170085
-58.55546055181643,136468234.11705855
-58.54742493963914,136868434.21710858
-58.53926028278616,137268634.31715858
-58.5309638769453,137668834.4172086
-58.522532948817485,138069034.51725864
-58.513964654074286,138469234.61730868
-58.50525607524791,138869434.71735868
-58.49640421955136,139269634.8174087
-58.48740601662623,139669834.91745874
-58.47825831621548,140070035.01750877
-58.468957885758705,140470235.11755878
-58.459501407907,140870435.2176088
-58.44988547795462,141270635.31765884
-58.44010660118455,141670835.41770887
-58.430161190124764,142071035.51775888
-58.42004556171218,142471235.6178089
-58.40975593436093,142871435.71785894
-58.39928842493166,143271635.81790897
-58.38863904559823,143671835.91795897
-58.377803700608325,144072036.018009
-58.36677818293414,144472236.11805904
-58.355558170809374,144872436.21810907
-58.34413922414844,145272636.3181591
-58.33251678084388,145672836.4182091
-58.320686152937625,146073036.51825914
-58.30864252266187,146473236.61830917
-58.29638093834485,146873436.7183592
-58.28389631017713,147273636.8184092
-58.27118340583326,147673836.91845924
-58.25823684594435,148074037.01850927
-58.24505109941595,148474237.1185593
-58.23162047858654,148874437.2186093
-58.21793913422094,149274637.31865934
-58.204001050333304,149674837.41870937
-58.18980003883415,150075037.5187594
-58.17532973399549,150475237.6188094
-58.16058358672843,150875437.71885943
-58.14555485866709,151275637.81890947
-58.13023661605278,151675837.9189595
-58.114621723412284,152076038.0190095
-58.09870283702391,152476238.11905953
-58.08247239816488,152876438.21910957
-58.065922626133705,153276638.3191596
-58.049045511040944,153676838.4192096
-58.03183280636185,154077038.51925963
-58.01427602124432,154477238.61930966
